Kategorie: Alle Kategorien

Region,Wohnung: (10.05.16 bis 10.05.16)
Appenzell Innerrhoden,100
Schaffhausen,12
Sankt Gallen,8
Solothurn,8
Basel-Stadt,8
Aargau,7
Luzern,7
Schwyz,7
Zürich,5
Graubünden,4
Thurgau,4
Bern,4
Basel-Landschaft,3
Wallis,3
Waadt,1
Genf,1
Appenzell Ausserrhoden,
Freiburg,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Obwalden,
Tessin,
Uri,
Zug,
