Kategorie: Alle Kategorien

Region,Wohnung: (14.10.16 bis 14.10.16)
Jura,100
Bern,46
Schwyz,43
Basel-Landschaft,40
Luzern,38
Thurgau,38
Aargau,37
Graubünden,31
Zug,29
Basel-Stadt,27
Zürich,25
Solothurn,24
Sankt Gallen,23
Tessin,10
Genf,5
Waadt,4
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Freiburg,
Glarus,
Neuenburg,
Nidwalden,
Obwalden,
Schaffhausen,
Uri,
Wallis,
