Kategorie: Alle Kategorien

Region,Wohnung: (12.02.17 bis 12.02.17)
Appenzell Innerrhoden,100
Obwalden,39
Glarus,38
Nidwalden,30
Sankt Gallen,17
Graubünden,16
Luzern,13
Basel-Landschaft,13
Schwyz,12
Zug,10
Basel-Stadt,10
Aargau,10
Zürich,10
Thurgau,8
Solothurn,7
Bern,7
Waadt,2
Genf,1
Appenzell Ausserrhoden,
Freiburg,
Jura,
Neuenburg,
Schaffhausen,
Tessin,
Uri,
Wallis,
