Kategorie: Alle Kategorien

Region,Wohnung: (02.04.16 bis 02.04.16)
Appenzell Innerrhoden,100
Glarus,40
Uri,36
Solothurn,13
Sankt Gallen,10
Thurgau,8
Basel-Landschaft,7
Bern,6
Luzern,5
Aargau,5
Zug,5
Zürich,5
Graubünden,3
Freiburg,3
Wallis,2
Basel-Stadt,2
Waadt,1
Genf,1
Appenzell Ausserrhoden,
Jura,
Neuenburg,
Nidwalden,
Obwalden,
Schaffhausen,
Schwyz,
Tessin,
