Kategorie: Alle Kategorien

Region,Wohnung: (09.07.18 bis 09.07.18)
Appenzell Ausserrhoden,100
Glarus,83
Uri,41
Obwalden,38
Nidwalden,36
Schwyz,35
Thurgau,24
Basel-Landschaft,23
Graubünden,22
Basel-Stadt,20
Schaffhausen,20
Solothurn,17
Sankt Gallen,16
Zug,16
Luzern,16
Aargau,15
Zürich,15
Bern,14
Freiburg,8
Tessin,6
Wallis,4
Waadt,4
Genf,2
Appenzell Innerrhoden,
Jura,
Neuenburg,
