Kategorie: Alle Kategorien

Region,Wohnung: (17.09.16 bis 17.09.16)
Uri,100
Appenzell Ausserrhoden,91
Thurgau,54
Graubünden,29
Luzern,25
Sankt Gallen,21
Aargau,20
Basel-Landschaft,18
Bern,17
Zürich,17
Zug,17
Tessin,13
Solothurn,13
Genf,2
Waadt,2
Appenzell Innerrhoden,
Basel-Stadt,
Freiburg,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Obwalden,
Schaffhausen,
Schwyz,
Wallis,
