Kategorie: Alle Kategorien

Region,Wohnung: (03.06.17 bis 03.06.17)
Appenzell Ausserrhoden,100
Obwalden,92
Schaffhausen,75
Graubünden,45
Luzern,30
Sankt Gallen,25
Aargau,22
Solothurn,22
Basel-Stadt,17
Zürich,15
Basel-Landschaft,14
Bern,12
Tessin,12
Wallis,11
Freiburg,10
Genf,4
Waadt,3
Appenzell Innerrhoden,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Schwyz,
Thurgau,
Uri,
Zug,
