Kategorie: Alle Kategorien

Region,Wohnung: (18.04.17 bis 18.04.17)
Obwalden,100
Schwyz,95
Uri,81
Appenzell Ausserrhoden,64
Luzern,42
Thurgau,37
Graubünden,33
Sankt Gallen,27
Basel-Landschaft,25
Solothurn,24
Bern,23
Zürich,19
Zug,13
Basel-Stadt,12
Aargau,12
Wallis,8
Freiburg,7
Genf,6
Waadt,2
Appenzell Innerrhoden,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Schaffhausen,
Tessin,
