Kategorie: Alle Kategorien

Region,Wohnung: (19.10.15 bis 19.10.15)
Schaffhausen,100
Appenzell Ausserrhoden,66
Aargau,35
Zug,32
Luzern,26
Solothurn,22
Zürich,21
Graubünden,21
Tessin,20
Neuenburg,15
Basel-Landschaft,15
Basel-Stadt,15
Bern,13
Sankt Gallen,9
Genf,4
Appenzell Innerrhoden,
Freiburg,
Glarus,
Jura,
Nidwalden,
Obwalden,
Schwyz,
Thurgau,
Uri,
Waadt,
Wallis,
