Kategorie: Alle Kategorien

Region,Wohnung: (07.06.17 bis 07.06.17)
Schaffhausen,100
Uri,74
Nidwalden,55
Sankt Gallen,31
Graubünden,30
Basel-Landschaft,30
Schwyz,26
Solothurn,22
Thurgau,20
Zug,18
Zürich,14
Aargau,11
Bern,10
Luzern,10
Basel-Stadt,9
Wallis,8
Freiburg,7
Genf,2
Waadt,2
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Glarus,
Jura,
Neuenburg,
Obwalden,
Tessin,
