Kategorie: Alle Kategorien

Region,Wohnung: (01.08.16 bis 01.08.16)
Appenzell Innerrhoden,100
Schaffhausen,22
Thurgau,10
Schwyz,9
Solothurn,9
Basel-Landschaft,8
Aargau,8
Zug,6
Bern,5
Sankt Gallen,5
Basel-Stadt,4
Zürich,4
Luzern,3
Graubünden,3
Genf,2
Appenzell Ausserrhoden,
Freiburg,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Obwalden,
Tessin,
Uri,
Waadt,
Wallis,
