Kategorie: Alle Kategorien

Region,Wohnung: (07.05.17 bis 07.05.17)
Glarus,100
Nidwalden,74
Obwalden,49
Schwyz,32
Zug,24
Thurgau,18
Luzern,18
Schaffhausen,18
Sankt Gallen,16
Aargau,14
Graubünden,13
Bern,12
Basel-Landschaft,11
Basel-Stadt,11
Zürich,11
Tessin,10
Solothurn,8
Wallis,4
Genf,4
Waadt,3
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Freiburg,
Jura,
Neuenburg,
Uri,
