Kategorie: Alle Kategorien

Region,Wohnung: (06.06.18 bis 06.06.18)
Appenzell Innerrhoden,100
Uri,72
Glarus,64
Schwyz,46
Nidwalden,34
Appenzell Ausserrhoden,32
Thurgau,27
Basel-Landschaft,21
Bern,21
Zürich,21
Jura,20
Graubünden,20
Luzern,19
Solothurn,17
Sankt Gallen,16
Aargau,11
Freiburg,10
Zug,9
Basel-Stadt,9
Wallis,5
Waadt,4
Genf,
Neuenburg,
Obwalden,
Schaffhausen,
Tessin,
