Kategorie: Alle Kategorien

Region,Wohnung: (29.08.18 bis 29.08.18)
Appenzell Innerrhoden,100
Glarus,78
Thurgau,48
Solothurn,39
Obwalden,36
Appenzell Ausserrhoden,31
Nidwalden,31
Luzern,26
Schwyz,25
Basel-Stadt,23
Jura,22
Graubünden,21
Sankt Gallen,20
Bern,18
Basel-Landschaft,16
Aargau,16
Zürich,12
Wallis,9
Neuenburg,8
Tessin,8
Freiburg,8
Waadt,6
Genf,2
Schaffhausen,
Uri,
Zug,
