Kategorie: Alle Kategorien

Region,Wohnung: (18.03.17 bis 18.03.17)
Glarus,100
Obwalden,54
Appenzell Ausserrhoden,40
Nidwalden,37
Schwyz,23
Schaffhausen,22
Zug,18
Luzern,16
Sankt Gallen,13
Bern,13
Thurgau,11
Graubünden,11
Basel-Stadt,10
Basel-Landschaft,10
Zürich,8
Solothurn,7
Freiburg,5
Aargau,4
Tessin,4
Wallis,4
Genf,2
Appenzell Innerrhoden,
Jura,
Neuenburg,
Uri,
Waadt,
