Kategorie: Alle Kategorien

Region,Wohnung: (20.12.15 bis 20.12.15)
Nidwalden,100
Schaffhausen,77
Graubünden,29
Basel-Stadt,25
Aargau,23
Bern,19
Luzern,19
Thurgau,18
Basel-Landschaft,15
Freiburg,13
Solothurn,11
Wallis,11
Zürich,11
Sankt Gallen,6
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Genf,
Glarus,
Jura,
Neuenburg,
Obwalden,
Schwyz,
Tessin,
Uri,
Waadt,
Zug,
