Kategorie: Alle Kategorien

Region,Wohnung: (28.09.15 bis 28.09.15)
Solothurn,100
Graubünden,75
Basel-Stadt,50
Basel-Landschaft,49
Wallis,44
Aargau,43
Luzern,33
Thurgau,30
Zug,30
Bern,25
Zürich,25
Sankt Gallen,22
Genf,17
Tessin,16
Waadt,6
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Freiburg,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Obwalden,
Schaffhausen,
Schwyz,
Uri,
