Kategorie: Alle Kategorien

Region,Wohnung: (27.02.18 bis 27.02.18)
Uri,100
Obwalden,98
Schaffhausen,95
Solothurn,53
Nidwalden,49
Thurgau,46
Schwyz,43
Sankt Gallen,42
Aargau,39
Luzern,30
Zug,29
Zürich,27
Bern,26
Basel-Landschaft,26
Graubünden,24
Basel-Stadt,22
Tessin,10
Wallis,5
Waadt,3
Genf,3
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Freiburg,
Glarus,
Jura,
Neuenburg,
