Kategorie: Alle Kategorien

Region,Wohnung: (16.02.18 bis 16.02.18)
Uri,100
Obwalden,92
Appenzell Ausserrhoden,88
Luzern,87
Graubünden,79
Sankt Gallen,59
Jura,58
Schaffhausen,56
Aargau,55
Solothurn,52
Zug,46
Zürich,38
Schwyz,36
Thurgau,33
Bern,32
Basel-Landschaft,29
Freiburg,26
Basel-Stadt,19
Wallis,14
Waadt,12
Appenzell Innerrhoden,
Genf,
Glarus,
Neuenburg,
Nidwalden,
Tessin,
