Kategorie: Alle Kategorien

Region,Wohnung: (22.06.16 bis 22.06.16)
Nidwalden,100
Appenzell Ausserrhoden,87
Schaffhausen,54
Aargau,40
Basel-Landschaft,36
Sankt Gallen,36
Solothurn,30
Zug,28
Basel-Stadt,28
Luzern,27
Zürich,21
Thurgau,18
Graubünden,16
Bern,16
Wallis,12
Freiburg,12
Genf,7
Appenzell Innerrhoden,
Glarus,
Jura,
Neuenburg,
Obwalden,
Schwyz,
Tessin,
Uri,
Waadt,
