Kategorie: Alle Kategorien

Region,Wohnung: (22.12.15 bis 22.12.15)
Obwalden,100
Luzern,16
Schwyz,16
Graubünden,15
Basel-Stadt,14
Solothurn,13
Basel-Landschaft,12
Neuenburg,10
Sankt Gallen,10
Zug,10
Freiburg,9
Aargau,8
Zürich,7
Wallis,7
Bern,5
Genf,3
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Glarus,
Jura,
Nidwalden,
Schaffhausen,
Thurgau,
Tessin,
Uri,
Waadt,
