Kategorie: Alle Kategorien

Region,Wohnung: (24.09.16 bis 24.09.16)
Schaffhausen,100
Appenzell Ausserrhoden,90
Jura,65
Schwyz,64
Basel-Landschaft,56
Graubünden,27
Luzern,23
Sankt Gallen,23
Bern,23
Zug,20
Aargau,19
Thurgau,18
Solothurn,16
Zürich,16
Wallis,10
Tessin,7
Genf,3
Appenzell Innerrhoden,
Basel-Stadt,
Freiburg,
Glarus,
Neuenburg,
Nidwalden,
Obwalden,
Uri,
Waadt,
