Kategorie: Alle Kategorien

Region,Wohnung: (11.06.17 bis 11.06.17)
Jura,100
Basel-Landschaft,91
Zug,69
Luzern,60
Sankt Gallen,51
Thurgau,51
Graubünden,49
Aargau,47
Solothurn,43
Bern,31
Basel-Stadt,27
Zürich,26
Freiburg,17
Genf,7
Waadt,4
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Glarus,
Neuenburg,
Nidwalden,
Obwalden,
Schaffhausen,
Schwyz,
Tessin,
Uri,
Wallis,
