Kategorie: Alle Kategorien

Region,Wohnung: (16.01.17 bis 16.01.17)
Appenzell Innerrhoden,100
Obwalden,29
Glarus,27
Nidwalden,19
Solothurn,12
Schaffhausen,12
Basel-Landschaft,11
Schwyz,11
Aargau,8
Thurgau,7
Luzern,7
Bern,6
Zürich,6
Sankt Gallen,4
Basel-Stadt,4
Wallis,3
Freiburg,2
Genf,1
Appenzell Ausserrhoden,
Graubünden,
Jura,
Neuenburg,
Tessin,
Uri,
Waadt,
Zug,
