Kategorie: Alle Kategorien

Region,Wohnung: (11.07.18 bis 11.07.18)
Uri,100
Glarus,47
Schwyz,47
Graubünden,42
Appenzell Ausserrhoden,39
Schaffhausen,34
Zug,32
Thurgau,32
Aargau,25
Basel-Landschaft,23
Zürich,17
Bern,17
Sankt Gallen,14
Solothurn,14
Luzern,12
Neuenburg,10
Basel-Stadt,8
Wallis,5
Waadt,3
Genf,2
Appenzell Innerrhoden,
Freiburg,
Jura,
Nidwalden,
Obwalden,
Tessin,
