Kategorie: Alle Kategorien

Region,Wohnung: (21.12.16 bis 21.12.16)
Nidwalden,100
Basel-Landschaft,51
Zug,40
Luzern,38
Schwyz,29
Bern,28
Thurgau,26
Sankt Gallen,24
Zürich,21
Aargau,18
Basel-Stadt,16
Graubünden,15
Solothurn,12
Wallis,12
Freiburg,12
Tessin,9
Genf,8
Waadt,3
Appenzell Innerrhoden,
Appenzell Ausserrhoden,
Glarus,
Jura,
Neuenburg,
Obwalden,
Schaffhausen,
Uri,
