Kategorie: Alle Kategorien

Region,Wohnung: (04.11.15 bis 04.11.15)
Uri,100
Obwalden,86
Nidwalden,42
Appenzell Ausserrhoden,38
Schwyz,22
Thurgau,22
Schaffhausen,20
Solothurn,16
Freiburg,15
Basel-Landschaft,14
Basel-Stadt,14
Sankt Gallen,10
Zürich,9
Bern,9
Zug,8
Luzern,7
Waadt,3
Aargau,3
Appenzell Innerrhoden,
Genf,
Glarus,
Graubünden,
Jura,
Neuenburg,
Tessin,
Wallis,
