Kategorie: Alle Kategorien

Region,Wohnung: (28.12.16 bis 28.12.16)
Appenzell Ausserrhoden,100
Schaffhausen,54
Thurgau,17
Schwyz,15
Basel-Landschaft,15
Bern,13
Solothurn,11
Aargau,11
Zürich,11
Sankt Gallen,10
Zug,10
Graubünden,9
Luzern,7
Basel-Stadt,7
Freiburg,6
Wallis,4
Tessin,4
Genf,2
Appenzell Innerrhoden,
Glarus,
Jura,
Neuenburg,
Nidwalden,
Obwalden,
Uri,
Waadt,
