Kategorie: Alle Kategorien

Region,Wohnung: (17.07.17 bis 17.07.17)
Appenzell Ausserrhoden,100
Nidwalden,86
Zug,72
Schaffhausen,52
Aargau,39
Luzern,34
Thurgau,33
Graubünden,33
Solothurn,29
Sankt Gallen,27
Schwyz,25
Zürich,24
Basel-Stadt,23
Bern,20
Basel-Landschaft,20
Wallis,15
Freiburg,11
Tessin,10
Genf,3
Waadt,3
Appenzell Innerrhoden,
Glarus,
Jura,
Neuenburg,
Obwalden,
Uri,
