dateindex,date,date_integer,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VD,VS,ZG,ZH
2015-10-04,2015-10-04,35,24.0,,,16.0,31.0,14.0,15.0,6.0,,37.0,,34.0,,,,13.0,100.0,,16.0,11.0,63.0,,,,24.0,14.0
2015-10-05,2015-10-05,36,7.0,,,10.0,11.0,12.0,5.0,2.0,,8.0,,10.0,,,100.0,8.0,21.0,,10.0,4.0,15.0,,3.0,5.0,23.0,8.0
2015-10-06,2015-10-06,37,18.0,,,21.0,20.0,23.0,25.0,11.0,,35.0,,21.0,18.0,,,24.0,100.0,47.0,38.0,,23.0,,4.0,,24.0,23.0
2015-10-07,2015-10-07,38,5.0,,,,4.0,8.0,5.0,1.0,,14.0,,4.0,,,100.0,6.0,19.0,12.0,17.0,,14.0,82.0,,,7.0,8.0
2015-10-08,2015-10-08,39,9.0,,,26.0,11.0,12.0,15.0,6.0,,19.0,,28.0,,,,14.0,100.0,,17.0,10.0,42.0,,9.0,14.0,21.0,15.0
2015-10-09,2015-10-09,40,9.0,100.0,,17.0,6.0,9.0,,2.0,,,,5.0,8.0,71.0,,10.0,74.0,,20.0,,,,2.0,,,7.0
2015-10-10,2015-10-10,41,4.0,,,6.0,5.0,3.0,,2.0,67.0,7.0,,3.0,,39.0,,6.0,16.0,,10.0,,,100.0,,,9.0,4.0
2015-10-11,2015-10-11,42,9.0,,,9.0,4.0,7.0,,,100.0,19.0,,4.0,,55.0,,3.0,,,7.0,6.0,10.0,,2.0,,23.0,7.0
2015-10-12,2015-10-12,43,4.0,,,7.0,2.0,3.0,,1.0,100.0,18.0,,4.0,3.0,,,7.0,22.0,7.0,3.0,,8.0,,1.0,,5.0,4.0
2015-10-13,2015-10-13,44,12.0,,,100.0,25.0,25.0,,9.0,,,,24.0,,,,29.0,81.0,,35.0,14.0,29.0,,5.0,,,22.0
2015-10-14,2015-10-14,45,12.0,33.0,,12.0,9.0,9.0,7.0,,,10.0,55.0,15.0,,49.0,,14.0,23.0,32.0,11.0,5.0,28.0,100.0,3.0,,15.0,9.0
2015-10-15,2015-10-15,46,47.0,,,41.0,15.0,23.0,45.0,6.0,,37.0,,28.0,,,,26.0,86.0,,100.0,,31.0,,6.0,,60.0,33.0
2015-10-16,2015-10-16,47,7.0,39.0,,24.0,5.0,6.0,,2.0,,,,7.0,,43.0,,12.0,100.0,,15.0,,10.0,,,7.0,13.0,8.0
2015-10-17,2015-10-17,48,51.0,,,74.0,37.0,38.0,41.0,,,65.0,,44.0,56.0,,,19.0,,,82.0,,54.0,,,,100.0,26.0
2015-10-18,2015-10-18,49,13.0,,,19.0,6.0,19.0,13.0,8.0,,37.0,,30.0,,85.0,,8.0,100.0,,11.0,,15.0,,,,27.0,13.0
2015-10-19,2015-10-19,50,35.0,66.0,,15.0,15.0,13.0,,4.0,,21.0,,26.0,15.0,,,9.0,100.0,,22.0,20.0,,,,,32.0,21.0
2015-10-20,2015-10-20,51,9.0,28.0,,13.0,11.0,2.0,,2.0,,,,5.0,,,100.0,12.0,61.0,15.0,7.0,,25.0,,5.0,,23.0,7.0
2015-10-21,2015-10-21,52,31.0,100.0,,23.0,43.0,18.0,,,,,,51.0,,,,32.0,67.0,,58.0,16.0,,,,47.0,41.0,28.0
