dateindex,date,date_integer,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VD,VS,ZG,ZH
2016-01-29,2016-01-29,152,17.0,,,10.0,12.0,13.0,8.0,3.0,93.0,25.0,50.0,9.0,,58.0,100.0,18.0,,19.0,35.0,5.0,38.0,,2.0,,19.0,11.0
2016-01-30,2016-01-30,153,50.0,,,60.0,34.0,65.0,28.0,14.0,,100.0,,34.0,,,,42.0,,72.0,67.0,18.0,47.0,,6.0,49.0,96.0,49.0
2016-01-31,2016-01-31,154,24.0,93.0,,12.0,20.0,14.0,8.0,2.0,100.0,12.0,,28.0,,,,16.0,79.0,40.0,19.0,6.0,21.0,,2.0,7.0,15.0,17.0
2016-02-01,2016-02-01,155,29.0,,,17.0,21.0,16.0,,4.0,,42.0,,34.0,,,100.0,20.0,44.0,49.0,21.0,,15.0,,2.0,8.0,13.0,20.0
2016-02-02,2016-02-02,156,10.0,73.0,,42.0,7.0,16.0,7.0,5.0,,19.0,,12.0,16.0,,100.0,26.0,,27.0,26.0,,12.0,,5.0,,11.0,14.0
2016-02-03,2016-02-03,157,12.0,69.0,,14.0,26.0,16.0,7.0,3.0,,16.0,,16.0,,,100.0,15.0,37.0,18.0,11.0,,13.0,,,7.0,22.0,16.0
2016-02-04,2016-02-04,158,21.0,79.0,,14.0,20.0,19.0,8.0,2.0,93.0,16.0,,18.0,,,100.0,27.0,35.0,41.0,12.0,,33.0,,4.0,7.0,12.0,13.0
2016-02-05,2016-02-05,159,32.0,,,23.0,15.0,17.0,,3.0,,47.0,,29.0,,100.0,,21.0,55.0,29.0,45.0,8.0,20.0,,4.0,,26.0,19.0
2016-02-06,2016-02-06,160,10.0,,,12.0,21.0,16.0,,4.0,100.0,40.0,,15.0,,,,24.0,40.0,,27.0,,13.0,,4.0,7.0,24.0,11.0
2016-02-07,2016-02-07,161,20.0,100.0,,29.0,12.0,18.0,9.0,7.0,,18.0,,21.0,,,,28.0,46.0,,19.0,7.0,,,2.0,7.0,18.0,20.0
2016-02-08,2016-02-08,162,18.0,71.0,,29.0,13.0,14.0,6.0,4.0,,7.0,,13.0,,,,11.0,84.0,,29.0,,50.0,100.0,3.0,,10.0,12.0
2016-02-09,2016-02-09,163,23.0,,,20.0,19.0,16.0,8.0,2.0,99.0,29.0,,17.0,,,,11.0,100.0,,20.0,10.0,17.0,,,6.0,12.0,17.0
2016-02-10,2016-02-10,164,10.0,38.0,,12.0,9.0,10.0,,2.0,49.0,12.0,,10.0,,,100.0,12.0,19.0,10.0,13.0,,10.0,,1.0,5.0,7.0,9.0
2016-02-11,2016-02-11,165,8.0,,,21.0,8.0,10.0,8.0,3.0,100.0,8.0,,27.0,9.0,,,17.0,39.0,28.0,26.0,,,95.0,3.0,28.0,18.0,16.0
2016-02-12,2016-02-12,166,12.0,,,45.0,7.0,10.0,9.0,2.0,,25.0,,35.0,9.0,71.0,100.0,28.0,,64.0,14.0,,40.0,,4.0,7.0,34.0,17.0
2016-02-13,2016-02-13,167,33.0,,,39.0,39.0,34.0,,7.0,,13.0,88.0,37.0,15.0,,,20.0,,100.0,46.0,10.0,42.0,,5.0,10.0,27.0,18.0
2016-02-14,2016-02-14,168,20.0,100.0,,44.0,26.0,13.0,10.0,5.0,,14.0,65.0,16.0,20.0,84.0,,12.0,43.0,25.0,24.0,7.0,15.0,,,16.0,57.0,21.0
2016-02-15,2016-02-15,169,30.0,100.0,,31.0,15.0,18.0,10.0,5.0,,19.0,,24.0,11.0,,,21.0,62.0,25.0,,,53.0,,2.0,8.0,16.0,23.0
2016-02-16,2016-02-16,170,58.0,,,21.0,16.0,41.0,,9.0,,60.0,,38.0,,,,26.0,100.0,34.0,30.0,19.0,66.0,,,12.0,23.0,35.0
2016-02-17,2016-02-17,171,31.0,,,35.0,23.0,23.0,23.0,6.0,,39.0,78.0,28.0,,100.0,,34.0,,45.0,24.0,8.0,27.0,,3.0,20.0,47.0,25.0
2016-02-18,2016-02-18,172,20.0,,,11.0,13.0,27.0,22.0,2.0,,29.0,,17.0,,,100.0,18.0,40.0,42.0,18.0,,20.0,95.0,2.0,14.0,22.0,14.0
2016-02-19,2016-02-19,173,9.0,100.0,,14.0,29.0,15.0,11.0,6.0,,28.0,,20.0,12.0,92.0,,32.0,47.0,26.0,33.0,7.0,41.0,,2.0,17.0,16.0,15.0
2016-02-20,2016-02-20,174,16.0,,,44.0,32.0,28.0,,5.0,,39.0,,49.0,,,,48.0,84.0,47.0,50.0,,100.0,,5.0,,39.0,27.0
2016-02-21,2016-02-21,175,54.0,,,61.0,26.0,58.0,23.0,9.0,,34.0,,27.0,,,,74.0,100.0,55.0,78.0,16.0,51.0,,5.0,,42.0,51.0
2016-02-22,2016-02-22,176,22.0,,,63.0,22.0,30.0,12.0,7.0,,44.0,,34.0,,100.0,,44.0,87.0,47.0,39.0,8.0,59.0,,4.0,10.0,38.0,30.0
2016-02-23,2016-02-23,177,16.0,83.0,,21.0,25.0,16.0,17.0,5.0,89.0,25.0,,13.0,,61.0,,12.0,35.0,31.0,8.0,6.0,25.0,100.0,2.0,7.0,25.0,16.0
2016-02-24,2016-02-24,178,18.0,62.0,,9.0,16.0,13.0,21.0,5.0,,14.0,,14.0,7.0,,,16.0,31.0,,14.0,5.0,,100.0,2.0,6.0,17.0,15.0
2016-02-25,2016-02-25,179,5.0,,100.0,3.0,6.0,7.0,4.0,1.0,53.0,8.0,,8.0,4.0,,,9.0,24.0,10.0,3.0,,6.0,,,6.0,8.0,5.0
2016-02-26,2016-02-26,180,8.0,,,23.0,18.0,8.0,,4.0,64.0,18.0,,14.0,6.0,100.0,75.0,11.0,26.0,15.0,9.0,4.0,23.0,,3.0,10.0,9.0,8.0
2016-02-27,2016-02-27,181,36.0,,,24.0,30.0,15.0,11.0,8.0,,11.0,,29.0,,100.0,,31.0,53.0,45.0,16.0,,35.0,,8.0,8.0,31.0,15.0
2016-02-28,2016-02-28,182,17.0,,,12.0,13.0,10.0,,7.0,100.0,19.0,,20.0,,,,23.0,37.0,44.0,12.0,,42.0,,4.0,7.0,32.0,14.0
2016-02-29,2016-02-29,183,24.0,,,41.0,12.0,20.0,8.0,5.0,86.0,49.0,,20.0,,,100.0,23.0,35.0,,13.0,5.0,24.0,,4.0,7.0,13.0,19.0
2016-03-01,2016-03-01,184,22.0,,,15.0,18.0,10.0,15.0,2.0,,12.0,,30.0,10.0,,100.0,23.0,40.0,41.0,12.0,,12.0,,3.0,,12.0,18.0
2016-03-02,2016-03-02,185,17.0,50.0,,15.0,12.0,11.0,5.0,3.0,,19.0,,13.0,,100.0,,13.0,28.0,16.0,20.0,4.0,18.0,,3.0,,18.0,13.0
2016-03-03,2016-03-03,186,10.0,,,5.0,8.0,6.0,3.0,2.0,,7.0,,8.0,3.0,,,9.0,,22.0,8.0,2.0,10.0,100.0,1.0,5.0,4.0,5.0
2016-03-04,2016-03-04,187,19.0,,,30.0,21.0,10.0,,2.0,87.0,21.0,,25.0,9.0,,,19.0,37.0,22.0,8.0,,12.0,100.0,3.0,,85.0,15.0
2016-03-05,2016-03-05,188,7.0,73.0,,47.0,14.0,13.0,,4.0,,21.0,,29.0,,,,26.0,,22.0,25.0,11.0,28.0,100.0,4.0,,16.0,17.0
2016-03-06,2016-03-06,189,17.0,,,10.0,23.0,12.0,14.0,,,16.0,,20.0,,100.0,,23.0,,48.0,7.0,6.0,23.0,,3.0,6.0,14.0,15.0
2016-03-07,2016-03-07,190,17.0,100.0,,12.0,9.0,16.0,,2.0,,15.0,,20.0,,,66.0,9.0,23.0,27.0,12.0,4.0,18.0,62.0,3.0,5.0,15.0,11.0
2016-03-08,2016-03-08,191,25.0,64.0,,35.0,13.0,16.0,11.0,,100.0,52.0,,21.0,,,,22.0,,21.0,30.0,,12.0,96.0,2.0,,25.0,14.0
2016-03-09,2016-03-09,192,12.0,,,10.0,8.0,10.0,4.0,2.0,100.0,6.0,,11.0,9.0,,44.0,9.0,28.0,11.0,8.0,5.0,12.0,,2.0,4.0,13.0,8.0
2016-03-10,2016-03-10,193,19.0,100.0,,22.0,24.0,32.0,,4.0,,25.0,,24.0,,,,35.0,,31.0,31.0,,18.0,,,32.0,18.0,22.0
2016-03-11,2016-03-11,194,9.0,,,14.0,8.0,13.0,7.0,3.0,,8.0,,15.0,,68.0,94.0,20.0,40.0,18.0,8.0,5.0,22.0,100.0,2.0,7.0,34.0,12.0
2016-03-12,2016-03-12,195,10.0,,,23.0,8.0,9.0,9.0,2.0,,18.0,,19.0,,61.0,,25.0,56.0,,41.0,6.0,28.0,100.0,2.0,8.0,24.0,13.0
2016-03-13,2016-03-13,196,34.0,,,22.0,18.0,18.0,,3.0,,28.0,,21.0,,,,15.0,47.0,100.0,16.0,,31.0,,6.0,10.0,20.0,20.0
2016-03-14,2016-03-14,197,24.0,,,37.0,24.0,21.0,,4.0,100.0,29.0,,36.0,,66.0,,22.0,40.0,33.0,18.0,9.0,41.0,,2.0,8.0,26.0,17.0
2016-03-15,2016-03-15,198,10.0,48.0,100.0,7.0,7.0,6.0,3.0,1.0,,6.0,,4.0,,22.0,36.0,7.0,26.0,7.0,9.0,,14.0,,,,17.0,6.0
2016-03-16,2016-03-16,199,15.0,100.0,,19.0,21.0,23.0,,2.0,,21.0,,19.0,9.0,69.0,100.0,23.0,36.0,20.0,29.0,,37.0,,3.0,7.0,12.0,13.0
2016-03-17,2016-03-17,200,18.0,,,10.0,11.0,16.0,9.0,5.0,,24.0,,25.0,,,,13.0,44.0,,19.0,5.0,12.0,100.0,5.0,,13.0,18.0
2016-03-18,2016-03-18,201,20.0,,,,19.0,14.0,,2.0,100.0,23.0,49.0,17.0,,66.0,,18.0,,,38.0,5.0,38.0,,,,25.0,15.0
2016-03-19,2016-03-19,202,6.0,22.0,100.0,,7.0,4.0,2.0,1.0,,,,3.0,,,,4.0,,12.0,2.0,2.0,,,1.0,,,4.0
2016-03-20,2016-03-20,203,14.0,,,15.0,14.0,17.0,,4.0,100.0,17.0,,13.0,,78.0,,13.0,32.0,34.0,13.0,5.0,20.0,,2.0,7.0,19.0,16.0
2016-03-21,2016-03-21,204,10.0,28.0,,7.0,5.0,10.0,7.0,5.0,100.0,7.0,,12.0,5.0,,44.0,11.0,18.0,23.0,4.0,,,,1.0,,13.0,7.0
2016-03-22,2016-03-22,205,23.0,100.0,,17.0,18.0,15.0,10.0,5.0,86.0,16.0,,19.0,,54.0,,16.0,66.0,53.0,31.0,,11.0,,,7.0,10.0,11.0
2016-03-23,2016-03-23,206,10.0,33.0,,18.0,6.0,10.0,,2.0,,16.0,,6.0,,38.0,56.0,16.0,,11.0,7.0,,20.0,100.0,2.0,9.0,13.0,8.0
2016-03-24,2016-03-24,207,18.0,64.0,,11.0,7.0,8.0,8.0,5.0,100.0,9.0,53.0,21.0,,67.0,83.0,19.0,,21.0,8.0,12.0,24.0,,2.0,,,12.0
2016-03-25,2016-03-25,208,15.0,100.0,,25.0,14.0,17.0,9.0,3.0,,8.0,,9.0,12.0,80.0,,16.0,,96.0,12.0,,25.0,,5.0,7.0,40.0,15.0
2016-03-26,2016-03-26,209,6.0,100.0,,12.0,12.0,6.0,6.0,,,5.0,,9.0,,45.0,51.0,14.0,26.0,14.0,11.0,4.0,17.0,72.0,,,12.0,8.0
2016-03-27,2016-03-27,210,9.0,,100.0,,4.0,7.0,6.0,1.0,36.0,11.0,,5.0,,,,5.0,39.0,15.0,7.0,2.0,4.0,,1.0,2.0,12.0,3.0
2016-03-28,2016-03-28,211,13.0,100.0,,11.0,18.0,8.0,,6.0,76.0,16.0,,7.0,,51.0,,17.0,,29.0,5.0,4.0,13.0,,,5.0,32.0,9.0
2016-03-29,2016-03-29,212,16.0,73.0,,31.0,11.0,18.0,14.0,5.0,,28.0,43.0,15.0,,,,22.0,76.0,20.0,15.0,6.0,52.0,100.0,4.0,8.0,13.0,20.0
2016-03-30,2016-03-30,213,19.0,67.0,,25.0,23.0,16.0,,6.0,,31.0,44.0,32.0,,67.0,92.0,22.0,37.0,37.0,26.0,10.0,18.0,100.0,3.0,15.0,36.0,16.0
2016-03-31,2016-03-31,214,9.0,,,11.0,7.0,7.0,7.0,1.0,100.0,15.0,,12.0,,,60.0,11.0,,16.0,7.0,,15.0,50.0,,4.0,14.0,10.0
2016-04-01,2016-04-01,215,11.0,,,42.0,12.0,11.0,,,,21.0,,18.0,,,100.0,21.0,32.0,,17.0,4.0,16.0,81.0,,12.0,27.0,11.0
2016-04-02,2016-04-02,216,5.0,,100.0,7.0,2.0,6.0,3.0,1.0,40.0,3.0,,5.0,,,,10.0,,,13.0,,8.0,36.0,1.0,2.0,5.0,5.0
2016-04-03,2016-04-03,217,19.0,67.0,,18.0,21.0,18.0,7.0,4.0,,8.0,33.0,21.0,,,100.0,30.0,32.0,,19.0,9.0,21.0,,2.0,6.0,19.0,14.0
2016-04-04,2016-04-04,218,17.0,,,22.0,23.0,23.0,8.0,2.0,100.0,9.0,,17.0,,78.0,,17.0,35.0,73.0,22.0,5.0,17.0,,2.0,,11.0,15.0
2016-04-05,2016-04-05,219,16.0,70.0,,22.0,12.0,13.0,,2.0,100.0,28.0,,16.0,,64.0,,16.0,36.0,40.0,26.0,5.0,24.0,,2.0,7.0,24.0,19.0
2016-04-06,2016-04-06,220,5.0,23.0,100.0,9.0,3.0,4.0,,1.0,,3.0,,6.0,,20.0,,8.0,12.0,6.0,10.0,2.0,11.0,,1.0,,8.0,5.0
2016-04-07,2016-04-07,221,28.0,,,37.0,13.0,24.0,11.0,4.0,,43.0,,20.0,,100.0,,25.0,,79.0,40.0,7.0,30.0,,2.0,,46.0,15.0
2016-04-08,2016-04-08,222,3.0,,100.0,7.0,4.0,4.0,3.0,1.0,,3.0,,7.0,,26.0,,6.0,13.0,7.0,4.0,,,,1.0,,,5.0
2016-04-09,2016-04-09,223,31.0,,,35.0,14.0,17.0,13.0,4.0,100.0,25.0,,14.0,,,86.0,16.0,,,10.0,,30.0,74.0,,12.0,24.0,11.0
2016-04-10,2016-04-10,224,13.0,100.0,,11.0,8.0,10.0,,2.0,,14.0,,5.0,,,,17.0,22.0,,8.0,,19.0,,1.0,5.0,21.0,9.0
2016-04-11,2016-04-11,225,14.0,,,17.0,15.0,17.0,11.0,3.0,100.0,19.0,,22.0,,,91.0,18.0,,18.0,11.0,,11.0,,3.0,7.0,34.0,20.0
2016-04-12,2016-04-12,226,16.0,,,24.0,11.0,14.0,,2.0,,18.0,36.0,17.0,,50.0,100.0,12.0,31.0,18.0,18.0,,21.0,,2.0,7.0,45.0,15.0
2016-04-13,2016-04-13,227,9.0,100.0,,14.0,4.0,6.0,4.0,4.0,49.0,10.0,,12.0,,38.0,54.0,13.0,,10.0,14.0,2.0,12.0,55.0,,4.0,6.0,7.0
2016-04-14,2016-04-14,228,18.0,65.0,,9.0,18.0,7.0,7.0,5.0,100.0,15.0,,20.0,10.0,,,21.0,84.0,,15.0,,11.0,,,7.0,41.0,14.0
2016-04-15,2016-04-15,229,10.0,83.0,,33.0,13.0,19.0,,3.0,,27.0,,21.0,,,93.0,19.0,,19.0,8.0,,12.0,100.0,,,24.0,11.0
2016-04-16,2016-04-16,230,16.0,100.0,,25.0,10.0,14.0,,,,13.0,60.0,34.0,13.0,,,20.0,42.0,23.0,36.0,6.0,28.0,,2.0,,19.0,15.0
2016-04-17,2016-04-17,231,19.0,,,19.0,15.0,17.0,7.0,2.0,100.0,30.0,,18.0,,66.0,,17.0,33.0,37.0,7.0,5.0,23.0,97.0,2.0,,15.0,14.0
2016-04-18,2016-04-18,232,15.0,69.0,,19.0,20.0,15.0,12.0,5.0,100.0,32.0,,15.0,,66.0,,31.0,39.0,40.0,16.0,,23.0,,2.0,,12.0,19.0
2016-04-19,2016-04-19,233,22.0,59.0,,9.0,21.0,11.0,14.0,2.0,,10.0,,19.0,,60.0,100.0,23.0,36.0,,23.0,5.0,32.0,,2.0,7.0,36.0,13.0
2016-04-20,2016-04-20,234,9.0,51.0,,7.0,5.0,6.0,,2.0,47.0,10.0,,8.0,,,100.0,7.0,39.0,14.0,8.0,,9.0,,1.0,,6.0,6.0
2016-04-21,2016-04-21,235,8.0,39.0,,13.0,16.0,10.0,6.0,3.0,78.0,28.0,32.0,13.0,,100.0,70.0,10.0,29.0,14.0,15.0,,22.0,,2.0,6.0,19.0,12.0
2016-04-22,2016-04-22,236,30.0,,,30.0,29.0,40.0,26.0,3.0,,36.0,,29.0,,100.0,,19.0,61.0,79.0,39.0,,41.0,,,12.0,32.0,18.0
2016-04-23,2016-04-23,237,20.0,81.0,,29.0,21.0,15.0,9.0,,100.0,20.0,,23.0,13.0,,,21.0,,21.0,31.0,6.0,20.0,,4.0,,,16.0
2016-04-24,2016-04-24,238,14.0,67.0,,50.0,6.0,14.0,7.0,6.0,100.0,28.0,,21.0,,,,26.0,37.0,29.0,36.0,11.0,12.0,,2.0,,24.0,15.0
2016-04-25,2016-04-25,239,11.0,,,20.0,11.0,12.0,12.0,3.0,85.0,10.0,,18.0,,53.0,,13.0,100.0,29.0,19.0,4.0,29.0,,,,15.0,14.0
2016-04-26,2016-04-26,240,41.0,100.0,,49.0,29.0,34.0,13.0,3.0,,,87.0,44.0,,,,43.0,62.0,33.0,47.0,9.0,29.0,,6.0,,33.0,27.0
2016-04-27,2016-04-27,241,33.0,57.0,,21.0,16.0,22.0,17.0,2.0,,18.0,,26.0,11.0,,,23.0,46.0,30.0,21.0,11.0,25.0,100.0,4.0,,44.0,17.0
2016-04-28,2016-04-28,242,19.0,,,10.0,9.0,17.0,,4.0,100.0,38.0,48.0,18.0,,,,18.0,41.0,21.0,16.0,10.0,34.0,,2.0,9.0,33.0,13.0
2016-04-29,2016-04-29,243,15.0,,,11.0,15.0,13.0,,,,22.0,,13.0,,,,34.0,89.0,41.0,26.0,5.0,13.0,100.0,4.0,,22.0,13.0
2016-04-30,2016-04-30,244,13.0,,,8.0,10.0,11.0,,2.0,,9.0,,6.0,,,,16.0,,17.0,9.0,,10.0,100.0,1.0,,19.0,9.0
2016-05-01,2016-05-01,245,21.0,,,11.0,33.0,11.0,24.0,5.0,100.0,23.0,,9.0,,76.0,,23.0,,,23.0,5.0,12.0,,4.0,,32.0,13.0
2016-05-02,2016-05-02,246,17.0,,,9.0,4.0,10.0,7.0,3.0,98.0,21.0,,21.0,,57.0,,18.0,,53.0,33.0,5.0,11.0,100.0,,8.0,11.0,14.0
2016-05-03,2016-05-03,247,26.0,,,9.0,15.0,18.0,7.0,2.0,100.0,12.0,,11.0,,57.0,,19.0,72.0,20.0,28.0,13.0,22.0,,2.0,8.0,36.0,14.0
2016-05-04,2016-05-04,248,21.0,56.0,,21.0,15.0,19.0,9.0,4.0,100.0,32.0,,21.0,,,,15.0,40.0,34.0,9.0,5.0,38.0,,,9.0,37.0,11.0
2016-05-05,2016-05-05,249,16.0,,,21.0,11.0,7.0,8.0,,100.0,22.0,,22.0,,,,7.0,35.0,42.0,18.0,,17.0,,3.0,,15.0,8.0
2016-05-06,2016-05-06,250,22.0,64.0,,16.0,15.0,5.0,,2.0,100.0,28.0,50.0,20.0,,59.0,,7.0,,,29.0,,13.0,,2.0,,20.0,9.0
2016-05-07,2016-05-07,251,15.0,,,28.0,25.0,24.0,,11.0,,27.0,,24.0,,,,60.0,100.0,54.0,39.0,12.0,31.0,,,,83.0,23.0
2016-05-08,2016-05-08,252,19.0,,,22.0,17.0,12.0,,2.0,90.0,22.0,,18.0,,,100.0,18.0,41.0,21.0,20.0,,13.0,,2.0,8.0,,14.0
2016-05-09,2016-05-09,253,13.0,,,54.0,15.0,26.0,17.0,2.0,,38.0,,23.0,,66.0,,36.0,91.0,,9.0,,20.0,100.0,3.0,9.0,13.0,18.0
2016-05-10,2016-05-10,254,7.0,,100.0,3.0,8.0,4.0,,1.0,,4.0,,7.0,,,,8.0,12.0,7.0,8.0,,4.0,,1.0,3.0,,5.0
2016-05-11,2016-05-11,255,29.0,,,28.0,29.0,21.0,12.0,3.0,,,,36.0,,100.0,,33.0,52.0,62.0,35.0,7.0,39.0,,5.0,12.0,18.0,24.0
2016-05-12,2016-05-12,256,14.0,66.0,,52.0,17.0,25.0,32.0,3.0,,29.0,,22.0,,,,27.0,100.0,55.0,42.0,,39.0,,2.0,,22.0,19.0
2016-05-13,2016-05-13,257,4.0,,100.0,5.0,4.0,4.0,2.0,1.0,,7.0,,4.0,3.0,18.0,28.0,5.0,11.0,6.0,6.0,1.0,5.0,24.0,1.0,5.0,7.0,4.0
2016-05-14,2016-05-14,258,8.0,,,22.0,8.0,8.0,7.0,2.0,,18.0,,11.0,,100.0,,14.0,28.0,41.0,12.0,5.0,10.0,,3.0,6.0,12.0,8.0
2016-05-15,2016-05-15,259,20.0,69.0,,24.0,15.0,10.0,14.0,3.0,99.0,25.0,,27.0,,,,15.0,76.0,,21.0,12.0,40.0,100.0,2.0,9.0,36.0,13.0
2016-05-16,2016-05-16,260,8.0,47.0,100.0,6.0,7.0,7.0,,2.0,39.0,,,9.0,,,48.0,8.0,13.0,28.0,4.0,2.0,9.0,,1.0,,22.0,6.0
2016-05-17,2016-05-17,261,23.0,100.0,,17.0,10.0,19.0,14.0,2.0,,21.0,,28.0,,64.0,,24.0,,37.0,18.0,,12.0,89.0,5.0,,11.0,12.0
2016-05-18,2016-05-18,262,7.0,63.0,100.0,6.0,5.0,5.0,3.0,2.0,,4.0,,7.0,,,,5.0,16.0,16.0,6.0,,7.0,,1.0,3.0,9.0,6.0
2016-05-19,2016-05-19,263,29.0,57.0,,37.0,16.0,13.0,9.0,2.0,,16.0,,22.0,11.0,,100.0,31.0,,21.0,17.0,,13.0,,2.0,17.0,13.0,14.0
2016-05-20,2016-05-20,264,58.0,,,,37.0,57.0,25.0,9.0,,71.0,,45.0,,,,79.0,,100.0,53.0,16.0,37.0,,12.0,,80.0,40.0
2016-05-21,2016-05-21,265,3.0,,100.0,4.0,5.0,7.0,5.0,1.0,,,,5.0,,,47.0,8.0,14.0,11.0,6.0,2.0,5.0,,,3.0,12.0,5.0
2016-05-22,2016-05-22,266,10.0,,,17.0,15.0,12.0,6.0,4.0,,23.0,,15.0,,53.0,,17.0,34.0,17.0,16.0,,31.0,100.0,1.0,,12.0,13.0
2016-05-23,2016-05-23,267,12.0,92.0,,8.0,12.0,7.0,8.0,1.0,100.0,29.0,,5.0,,,,11.0,20.0,10.0,17.0,3.0,9.0,51.0,1.0,4.0,7.0,10.0
2016-05-24,2016-05-24,268,13.0,46.0,,17.0,18.0,15.0,14.0,2.0,,26.0,,28.0,,,100.0,27.0,96.0,33.0,21.0,5.0,30.0,,3.0,8.0,11.0,15.0
2016-05-25,2016-05-25,269,9.0,,100.0,4.0,8.0,4.0,3.0,2.0,38.0,9.0,,7.0,,,,8.0,29.0,8.0,4.0,2.0,14.0,40.0,2.0,,13.0,6.0
2016-05-26,2016-05-26,270,29.0,,,,18.0,21.0,12.0,5.0,,21.0,,26.0,14.0,,,31.0,100.0,29.0,47.0,,16.0,,2.0,40.0,,14.0
2016-05-27,2016-05-27,271,21.0,100.0,,25.0,8.0,23.0,,3.0,,34.0,,18.0,,,,35.0,,35.0,31.0,,20.0,,,32.0,48.0,17.0
2016-05-28,2016-05-28,272,13.0,,,11.0,27.0,15.0,,2.0,,43.0,,6.0,12.0,73.0,,15.0,,42.0,21.0,,,100.0,3.0,9.0,16.0,14.0
2016-05-29,2016-05-29,273,10.0,100.0,,26.0,7.0,13.0,6.0,2.0,,18.0,,13.0,,,,18.0,25.0,14.0,8.0,,13.0,79.0,1.0,6.0,32.0,9.0
2016-05-30,2016-05-30,274,7.0,27.0,100.0,13.0,3.0,5.0,2.0,1.0,29.0,9.0,,7.0,3.0,39.0,,6.0,,11.0,8.0,2.0,11.0,29.0,1.0,5.0,,5.0
2016-05-31,2016-05-31,275,7.0,26.0,,4.0,8.0,7.0,,1.0,,6.0,16.0,5.0,,100.0,,4.0,41.0,15.0,6.0,,11.0,36.0,1.0,6.0,9.0,7.0
2016-06-01,2016-06-01,276,26.0,,,17.0,20.0,16.0,,4.0,,40.0,47.0,9.0,,,,26.0,35.0,31.0,34.0,6.0,13.0,100.0,,8.0,40.0,14.0
2016-06-02,2016-06-02,277,34.0,,,51.0,39.0,79.0,26.0,,,70.0,,66.0,37.0,,,81.0,,90.0,79.0,17.0,97.0,,9.0,26.0,100.0,47.0
2016-06-03,2016-06-03,278,6.0,21.0,100.0,8.0,7.0,4.0,3.0,2.0,,11.0,,10.0,,,,9.0,15.0,14.0,9.0,3.0,9.0,,,,7.0,5.0
2016-06-04,2016-06-04,279,16.0,75.0,,,10.0,6.0,,2.0,,16.0,49.0,8.0,,,91.0,20.0,44.0,21.0,12.0,,13.0,100.0,2.0,9.0,23.0,13.0
2016-06-05,2016-06-05,280,14.0,43.0,,26.0,13.0,11.0,,2.0,,20.0,,7.0,,100.0,,11.0,22.0,13.0,11.0,4.0,15.0,,1.0,6.0,19.0,11.0
2016-06-06,2016-06-06,281,12.0,,,33.0,10.0,21.0,,,,36.0,,30.0,,,100.0,35.0,44.0,33.0,29.0,,20.0,87.0,6.0,20.0,42.0,16.0
2016-06-07,2016-06-07,282,11.0,100.0,,16.0,13.0,13.0,,3.0,,27.0,,23.0,,,78.0,15.0,49.0,17.0,28.0,,19.0,,3.0,7.0,21.0,13.0
2016-06-08,2016-06-08,283,10.0,,100.0,,9.0,7.0,10.0,1.0,67.0,5.0,,12.0,,33.0,,9.0,,13.0,7.0,,13.0,38.0,1.0,,,7.0
2016-06-09,2016-06-09,284,5.0,,100.0,9.0,4.0,4.0,3.0,1.0,37.0,5.0,,4.0,,,33.0,4.0,,7.0,9.0,2.0,13.0,,1.0,,15.0,4.0
2016-06-10,2016-06-10,285,2.0,31.0,100.0,12.0,9.0,9.0,8.0,1.0,,,23.0,3.0,,,,5.0,,14.0,6.0,,,,1.0,,6.0,6.0
2016-06-11,2016-06-11,286,8.0,,,16.0,15.0,11.0,,2.0,100.0,8.0,32.0,11.0,,51.0,,13.0,27.0,,11.0,4.0,18.0,,1.0,,12.0,6.0
2016-06-12,2016-06-12,287,4,17,100,4,7,4,2,1,,6,,3,3,,,3,9,18,8,,10,,<1,2,6,3
2016-06-13,2016-06-13,288,29.0,100.0,,27.0,22.0,18.0,7.0,3.0,,31.0,,24.0,,60.0,,18.0,38.0,28.0,34.0,,26.0,,2.0,7.0,31.0,11.0
2016-06-14,2016-06-14,289,15.0,37.0,,18.0,15.0,11.0,5.0,2.0,,6.0,,10.0,,,51.0,11.0,21.0,25.0,19.0,3.0,14.0,100.0,2.0,,15.0,8.0
2016-06-15,2016-06-15,290,6.0,,100.0,11.0,3.0,4.0,5.0,1.0,36.0,8.0,,7.0,,,,6.0,20.0,24.0,11.0,,4.0,,1.0,3.0,10.0,5.0
2016-06-16,2016-06-16,291,14.0,100.0,,18.0,15.0,14.0,14.0,,76.0,24.0,,14.0,10.0,,84.0,25.0,35.0,27.0,33.0,,,95.0,,,24.0,12.0
2016-06-17,2016-06-17,292,9.0,28.0,,14.0,5.0,7.0,4.0,1.0,100.0,5.0,,13.0,,32.0,43.0,5.0,17.0,10.0,8.0,,8.0,,2.0,4.0,12.0,7.0
2016-06-18,2016-06-18,293,20.0,,,56.0,59.0,37.0,,,,30.0,,47.0,,,,30.0,100.0,84.0,83.0,,32.0,,,,80.0,31.0
2016-06-19,2016-06-19,294,24.0,100.0,,33.0,33.0,26.0,,4.0,,45.0,,34.0,,,,23.0,53.0,30.0,44.0,,25.0,,,,68.0,20.0
