,canton,search_wohnung,date
3629,Wallis,12.0,2016-04-22
3630,Genf,3.0,2016-04-22
3631,Appenzell Innerrhoden,,2016-04-22
3632,Appenzell Ausserrhoden,,2016-04-22
3633,Glarus,,2016-04-22
3634,Jura,,2016-04-22
3635,Neuenburg,,2016-04-22
3636,Obwalden,,2016-04-22
3637,Tessin,,2016-04-22
3638,Uri,,2016-04-22
3639,Waadt,,2016-04-22
3640,Obwalden,100.0,2017-01-01
3641,Uri,92.0,2017-01-01
3642,Appenzell Ausserrhoden,65.0,2017-01-01
3643,Schwyz,29.0,2017-01-01
3644,Thurgau,27.0,2017-01-01
3645,Luzern,20.0,2017-01-01
3646,Sankt Gallen,18.0,2017-01-01
3647,Basel-Stadt,15.0,2017-01-01
3648,Aargau,14.0,2017-01-01
3649,Zürich,12.0,2017-01-01
3650,Basel-Landschaft,11.0,2017-01-01
3651,Graubünden,11.0,2017-01-01
3652,Freiburg,9.0,2017-01-01
3653,Solothurn,8.0,2017-01-01
3654,Bern,8.0,2017-01-01
3655,Appenzell Innerrhoden,,2017-01-01
3656,Genf,,2017-01-01
3657,Glarus,,2017-01-01
3658,Jura,,2017-01-01
3659,Neuenburg,,2017-01-01
3660,Nidwalden,,2017-01-01
3661,Schaffhausen,,2017-01-01
3662,Tessin,,2017-01-01
3663,Waadt,,2017-01-01
3664,Wallis,,2017-01-01
3665,Zug,,2017-01-01
3666,Appenzell Innerrhoden,100,2015-09-19
3667,Schaffhausen,6,2015-09-19
3668,Sankt Gallen,4,2015-09-19
3669,Bern,3,2015-09-19
3670,Thurgau,2,2015-09-19
3671,Basel-Landschaft,2,2015-09-19
3672,Neuenburg,2,2015-09-19
3673,Basel-Stadt,2,2015-09-19
3674,Zürich,1,2015-09-19
3675,Aargau,1,2015-09-19
3676,Tessin,1,2015-09-19
3677,Luzern,1,2015-09-19
3678,Genf,1,2015-09-19
3679,Waadt,<1,2015-09-19
3680,Appenzell Ausserrhoden,,2015-09-19
3681,Freiburg,,2015-09-19
3682,Glarus,,2015-09-19
3683,Graubünden,,2015-09-19
3684,Jura,,2015-09-19
3685,Nidwalden,,2015-09-19
3686,Obwalden,,2015-09-19
3687,Solothurn,,2015-09-19
3688,Schwyz,,2015-09-19
3689,Uri,,2015-09-19
3690,Wallis,,2015-09-19
3691,Zug,,2015-09-19
3692,Glarus,100.0,2018-03-21
3693,Obwalden,89.0,2018-03-21
3694,Appenzell Ausserrhoden,49.0,2018-03-21
3695,Schaffhausen,40.0,2018-03-21
3696,Nidwalden,39.0,2018-03-21
3697,Basel-Landschaft,30.0,2018-03-21
3698,Graubünden,28.0,2018-03-21
3699,Sankt Gallen,26.0,2018-03-21
3700,Thurgau,26.0,2018-03-21
3701,Luzern,24.0,2018-03-21
3702,Solothurn,23.0,2018-03-21
3703,Aargau,22.0,2018-03-21
3704,Schwyz,20.0,2018-03-21
3705,Bern,19.0,2018-03-21
3706,Basel-Stadt,19.0,2018-03-21
3707,Zürich,14.0,2018-03-21
3708,Zug,9.0,2018-03-21
3709,Neuenburg,8.0,2018-03-21
3710,Waadt,6.0,2018-03-21
3711,Freiburg,5.0,2018-03-21
3712,Wallis,5.0,2018-03-21
3713,Tessin,4.0,2018-03-21
3714,Appenzell Innerrhoden,,2018-03-21
3715,Genf,,2018-03-21
3716,Jura,,2018-03-21
3717,Uri,,2018-03-21
3718,Appenzell Innerrhoden,100.0,2016-10-21
3719,Obwalden,17.0,2016-10-21
3720,Basel-Landschaft,12.0,2016-10-21
3721,Schwyz,8.0,2016-10-21
3722,Aargau,7.0,2016-10-21
3723,Thurgau,6.0,2016-10-21
3724,Luzern,6.0,2016-10-21
3725,Zug,5.0,2016-10-21
3726,Solothurn,4.0,2016-10-21
3727,Sankt Gallen,3.0,2016-10-21
3728,Zürich,3.0,2016-10-21
3729,Bern,2.0,2016-10-21
3730,Wallis,2.0,2016-10-21
3731,Basel-Stadt,1.0,2016-10-21
3732,Genf,1.0,2016-10-21
3733,Appenzell Ausserrhoden,,2016-10-21
3734,Freiburg,,2016-10-21
3735,Glarus,,2016-10-21
3736,Graubünden,,2016-10-21
3737,Jura,,2016-10-21
3738,Neuenburg,,2016-10-21
3739,Nidwalden,,2016-10-21
3740,Schaffhausen,,2016-10-21
3741,Tessin,,2016-10-21
3742,Uri,,2016-10-21
3743,Waadt,,2016-10-21
3744,Nidwalden,100.0,2018-07-16
3745,Appenzell Innerrhoden,90.0,2018-07-16
3746,Obwalden,43.0,2018-07-16
3747,Glarus,40.0,2018-07-16
3748,Solothurn,30.0,2018-07-16
3749,Luzern,30.0,2018-07-16
3750,Appenzell Ausserrhoden,30.0,2018-07-16
3751,Schwyz,29.0,2018-07-16
3752,Basel-Landschaft,24.0,2018-07-16
3753,Jura,21.0,2018-07-16
3754,Thurgau,20.0,2018-07-16
3755,Basel-Stadt,20.0,2018-07-16
3756,Schaffhausen,19.0,2018-07-16
3757,Graubünden,18.0,2018-07-16
3758,Zug,17.0,2018-07-16
3759,Zürich,16.0,2018-07-16
3760,Bern,16.0,2018-07-16
3761,Sankt Gallen,15.0,2018-07-16
3762,Aargau,14.0,2018-07-16
3763,Waadt,6.0,2018-07-16
3764,Wallis,4.0,2018-07-16
3765,Tessin,3.0,2018-07-16
3766,Freiburg,,2018-07-16
3767,Genf,,2018-07-16
3768,Neuenburg,,2018-07-16
3769,Uri,,2018-07-16
3770,Appenzell Ausserrhoden,100.0,2016-03-28
3771,Glarus,76.0,2016-03-28
3772,Nidwalden,51.0,2016-03-28
3773,Zug,32.0,2016-03-28
3774,Schwyz,29.0,2016-03-28
3775,Basel-Stadt,18.0,2016-03-28
3776,Sankt Gallen,17.0,2016-03-28
3777,Graubünden,16.0,2016-03-28
3778,Aargau,13.0,2016-03-28
3779,Thurgau,13.0,2016-03-28
3780,Basel-Landschaft,11.0,2016-03-28
3781,Zürich,9.0,2016-03-28
3782,Bern,8.0,2016-03-28
3783,Luzern,7.0,2016-03-28
3784,Genf,6.0,2016-03-28
3785,Solothurn,5.0,2016-03-28
3786,Wallis,5.0,2016-03-28
3787,Tessin,4.0,2016-03-28
3788,Appenzell Innerrhoden,,2016-03-28
3789,Freiburg,,2016-03-28
3790,Jura,,2016-03-28
3791,Neuenburg,,2016-03-28
3792,Obwalden,,2016-03-28
3793,Schaffhausen,,2016-03-28
3794,Uri,,2016-03-28
3795,Waadt,,2016-03-28
3796,Uri,100.0,2016-09-11
3797,Obwalden,88.0,2016-09-11
3798,Appenzell Ausserrhoden,63.0,2016-09-11
3799,Schaffhausen,37.0,2016-09-11
3800,Thurgau,31.0,2016-09-11
3801,Basel-Landschaft,26.0,2016-09-11
3802,Solothurn,24.0,2016-09-11
3803,Basel-Stadt,20.0,2016-09-11
3804,Schwyz,19.0,2016-09-11
3805,Zürich,18.0,2016-09-11
3806,Luzern,17.0,2016-09-11
3807,Sankt Gallen,17.0,2016-09-11
3808,Zug,16.0,2016-09-11
3809,Aargau,16.0,2016-09-11
3810,Bern,15.0,2016-09-11
3811,Graubünden,15.0,2016-09-11
3812,Genf,5.0,2016-09-11
3813,Appenzell Innerrhoden,,2016-09-11
3814,Freiburg,,2016-09-11
3815,Glarus,,2016-09-11
3816,Jura,,2016-09-11
3817,Neuenburg,,2016-09-11
3818,Nidwalden,,2016-09-11
3819,Tessin,,2016-09-11
3820,Waadt,,2016-09-11
3821,Wallis,,2016-09-11
3822,Nidwalden,100.0,2017-12-08
3823,Appenzell Ausserrhoden,79.0,2017-12-08
3824,Schaffhausen,79.0,2017-12-08
3825,Zug,78.0,2017-12-08
3826,Basel-Landschaft,56.0,2017-12-08
3827,Sankt Gallen,53.0,2017-12-08
3828,Luzern,51.0,2017-12-08
3829,Solothurn,45.0,2017-12-08
3830,Schwyz,41.0,2017-12-08
3831,Bern,39.0,2017-12-08
3832,Aargau,37.0,2017-12-08
3833,Graubünden,37.0,2017-12-08
3834,Freiburg,28.0,2017-12-08
3835,Basel-Stadt,25.0,2017-12-08
3836,Zürich,23.0,2017-12-08
3837,Neuenburg,22.0,2017-12-08
3838,Wallis,13.0,2017-12-08
3839,Waadt,3.0,2017-12-08
3840,Appenzell Innerrhoden,,2017-12-08
3841,Genf,,2017-12-08
3842,Glarus,,2017-12-08
3843,Jura,,2017-12-08
3844,Obwalden,,2017-12-08
3845,Thurgau,,2017-12-08
3846,Tessin,,2017-12-08
3847,Uri,,2017-12-08
3848,Nidwalden,100.0,2016-06-05
3849,Appenzell Ausserrhoden,43.0,2016-06-05
3850,Basel-Landschaft,26.0,2016-06-05
3851,Schaffhausen,22.0,2016-06-05
3852,Graubünden,20.0,2016-06-05
3853,Zug,19.0,2016-06-05
3854,Thurgau,15.0,2016-06-05
3855,Aargau,14.0,2016-06-05
3856,Schwyz,13.0,2016-06-05
3857,Basel-Stadt,13.0,2016-06-05
3858,Solothurn,11.0,2016-06-05
3859,Sankt Gallen,11.0,2016-06-05
3860,Zürich,11.0,2016-06-05
3861,Bern,11.0,2016-06-05
3862,Luzern,7.0,2016-06-05
3863,Wallis,6.0,2016-06-05
3864,Tessin,4.0,2016-06-05
3865,Genf,2.0,2016-06-05
3866,Waadt,1.0,2016-06-05
3867,Appenzell Innerrhoden,,2016-06-05
3868,Freiburg,,2016-06-05
3869,Glarus,,2016-06-05
3870,Jura,,2016-06-05
3871,Neuenburg,,2016-06-05
3872,Obwalden,,2016-06-05
3873,Uri,,2016-06-05
3874,Appenzell Innerrhoden,100.0,2018-08-02
3875,Nidwalden,51.0,2018-08-02
3876,Appenzell Ausserrhoden,35.0,2018-08-02
3877,Sankt Gallen,28.0,2018-08-02
3878,Schwyz,27.0,2018-08-02
3879,Graubünden,27.0,2018-08-02
3880,Schaffhausen,23.0,2018-08-02
3881,Solothurn,22.0,2018-08-02
3882,Thurgau,20.0,2018-08-02
3883,Basel-Stadt,19.0,2018-08-02
3884,Luzern,17.0,2018-08-02
3885,Basel-Landschaft,15.0,2018-08-02
3886,Bern,15.0,2018-08-02
3887,Zürich,14.0,2018-08-02
3888,Aargau,14.0,2018-08-02
3889,Zug,11.0,2018-08-02
3890,Freiburg,6.0,2018-08-02
3891,Waadt,5.0,2018-08-02
3892,Wallis,4.0,2018-08-02
3893,Tessin,4.0,2018-08-02
3894,Genf,,2018-08-02
3895,Glarus,,2018-08-02
3896,Jura,,2018-08-02
3897,Neuenburg,,2018-08-02
3898,Obwalden,,2018-08-02
3899,Uri,,2018-08-02
3900,Glarus,100.0,2015-10-29
3901,Appenzell Ausserrhoden,45.0,2015-10-29
3902,Nidwalden,34.0,2015-10-29
3903,Graubünden,22.0,2015-10-29
3904,Schwyz,18.0,2015-10-29
3905,Thurgau,10.0,2015-10-29
3906,Luzern,9.0,2015-10-29
3907,Bern,8.0,2015-10-29
3908,Zürich,7.0,2015-10-29
3909,Basel-Stadt,7.0,2015-10-29
3910,Aargau,6.0,2015-10-29
3911,Zug,6.0,2015-10-29
3912,Basel-Landschaft,6.0,2015-10-29
3913,Freiburg,5.0,2015-10-29
3914,Solothurn,5.0,2015-10-29
3915,Sankt Gallen,4.0,2015-10-29
3916,Waadt,1.0,2015-10-29
3917,Appenzell Innerrhoden,,2015-10-29
3918,Genf,,2015-10-29
3919,Jura,,2015-10-29
3920,Neuenburg,,2015-10-29
3921,Obwalden,,2015-10-29
3922,Schaffhausen,,2015-10-29
3923,Tessin,,2015-10-29
3924,Uri,,2015-10-29
3925,Wallis,,2015-10-29
3926,Schaffhausen,100.0,2015-12-07
3927,Graubünden,61.0,2015-12-07
3928,Zug,54.0,2015-12-07
3929,Thurgau,52.0,2015-12-07
3930,Aargau,52.0,2015-12-07
3931,Luzern,39.0,2015-12-07
3932,Solothurn,39.0,2015-12-07
3933,Basel-Stadt,26.0,2015-12-07
3934,Zürich,22.0,2015-12-07
3935,Basel-Landschaft,22.0,2015-12-07
3936,Bern,18.0,2015-12-07
3937,Sankt Gallen,12.0,2015-12-07
3938,Genf,5.0,2015-12-07
3939,Appenzell Innerrhoden,,2015-12-07
3940,Appenzell Ausserrhoden,,2015-12-07
3941,Freiburg,,2015-12-07
3942,Glarus,,2015-12-07
3943,Jura,,2015-12-07
3944,Neuenburg,,2015-12-07
3945,Nidwalden,,2015-12-07
3946,Obwalden,,2015-12-07
3947,Schwyz,,2015-12-07
3948,Tessin,,2015-12-07
3949,Uri,,2015-12-07
3950,Waadt,,2015-12-07
3951,Wallis,,2015-12-07
3952,Appenzell Innerrhoden,100.0,2017-10-26
3953,Appenzell Ausserrhoden,26.0,2017-10-26
3954,Basel-Landschaft,18.0,2017-10-26
3955,Sankt Gallen,16.0,2017-10-26
3956,Graubünden,12.0,2017-10-26
3957,Zug,10.0,2017-10-26
3958,Bern,10.0,2017-10-26
3959,Basel-Stadt,9.0,2017-10-26
3960,Thurgau,9.0,2017-10-26
3961,Zürich,9.0,2017-10-26
3962,Aargau,8.0,2017-10-26
3963,Schwyz,7.0,2017-10-26
3964,Solothurn,7.0,2017-10-26
3965,Freiburg,7.0,2017-10-26
3966,Luzern,6.0,2017-10-26
3967,Wallis,4.0,2017-10-26
3968,Tessin,2.0,2017-10-26
3969,Waadt,2.0,2017-10-26
3970,Genf,1.0,2017-10-26
3971,Glarus,,2017-10-26
3972,Jura,,2017-10-26
3973,Neuenburg,,2017-10-26
3974,Nidwalden,,2017-10-26
3975,Obwalden,,2017-10-26
3976,Schaffhausen,,2017-10-26
3977,Uri,,2017-10-26
3978,Glarus,100.0,2017-07-18
3979,Nidwalden,58.0,2017-07-18
3980,Schwyz,40.0,2017-07-18
3981,Thurgau,35.0,2017-07-18
3982,Luzern,31.0,2017-07-18
3983,Sankt Gallen,26.0,2017-07-18
3984,Bern,26.0,2017-07-18
3985,Basel-Landschaft,22.0,2017-07-18
3986,Graubünden,20.0,2017-07-18
3987,Basel-Stadt,19.0,2017-07-18
3988,Solothurn,17.0,2017-07-18
3989,Zürich,16.0,2017-07-18
3990,Zug,14.0,2017-07-18
3991,Freiburg,13.0,2017-07-18
3992,Aargau,11.0,2017-07-18
3993,Tessin,11.0,2017-07-18
3994,Wallis,8.0,2017-07-18
3995,Waadt,7.0,2017-07-18
3996,Genf,3.0,2017-07-18
3997,Appenzell Innerrhoden,,2017-07-18
3998,Appenzell Ausserrhoden,,2017-07-18
3999,Jura,,2017-07-18
4000,Neuenburg,,2017-07-18
4001,Obwalden,,2017-07-18
4002,Schaffhausen,,2017-07-18
4003,Uri,,2017-07-18
4004,Uri,100.0,2016-01-06
4005,Obwalden,79.0,2016-01-06
4006,Nidwalden,53.0,2016-01-06
4007,Solothurn,29.0,2016-01-06
4008,Schaffhausen,28.0,2016-01-06
4009,Sankt Gallen,23.0,2016-01-06
4010,Luzern,19.0,2016-01-06
4011,Aargau,16.0,2016-01-06
4012,Graubünden,15.0,2016-01-06
4013,Bern,15.0,2016-01-06
4014,Thurgau,15.0,2016-01-06
4015,Zug,15.0,2016-01-06
4016,Zürich,14.0,2016-01-06
4017,Basel-Landschaft,12.0,2016-01-06
4018,Basel-Stadt,10.0,2016-01-06
4019,Freiburg,6.0,2016-01-06
4020,Wallis,6.0,2016-01-06
4021,Tessin,5.0,2016-01-06
4022,Genf,2.0,2016-01-06
4023,Waadt,1.0,2016-01-06
4024,Appenzell Innerrhoden,,2016-01-06
4025,Appenzell Ausserrhoden,,2016-01-06
4026,Glarus,,2016-01-06
4027,Jura,,2016-01-06
4028,Neuenburg,,2016-01-06
4029,Schwyz,,2016-01-06
4030,Appenzell Innerrhoden,100.0,2018-04-22
4031,Uri,45.0,2018-04-22
4032,Obwalden,39.0,2018-04-22
4033,Zug,34.0,2018-04-22
4034,Appenzell Ausserrhoden,31.0,2018-04-22
4035,Luzern,27.0,2018-04-22
4036,Schaffhausen,22.0,2018-04-22
4037,Jura,21.0,2018-04-22
4038,Basel-Landschaft,20.0,2018-04-22
4039,Schwyz,19.0,2018-04-22
4040,Basel-Stadt,19.0,2018-04-22
4041,Aargau,16.0,2018-04-22
4042,Sankt Gallen,15.0,2018-04-22
4043,Bern,14.0,2018-04-22
4044,Zürich,14.0,2018-04-22
4045,Solothurn,14.0,2018-04-22
4046,Graubünden,12.0,2018-04-22
4047,Thurgau,11.0,2018-04-22
4048,Wallis,7.0,2018-04-22
4049,Waadt,5.0,2018-04-22
4050,Tessin,4.0,2018-04-22
4051,Freiburg,,2018-04-22
4052,Genf,,2018-04-22
4053,Glarus,,2018-04-22
4054,Neuenburg,,2018-04-22
4055,Nidwalden,,2018-04-22
4056,Uri,100.0,2017-06-02
4057,Thurgau,42.0,2017-06-02
4058,Sankt Gallen,38.0,2017-06-02
4059,Basel-Landschaft,33.0,2017-06-02
4060,Luzern,30.0,2017-06-02
4061,Zug,30.0,2017-06-02
4062,Graubünden,25.0,2017-06-02
4063,Aargau,20.0,2017-06-02
4064,Solothurn,19.0,2017-06-02
4065,Zürich,16.0,2017-06-02
4066,Neuenburg,14.0,2017-06-02
4067,Basel-Stadt,14.0,2017-06-02
4068,Bern,13.0,2017-06-02
4069,Wallis,10.0,2017-06-02
4070,Freiburg,9.0,2017-06-02
4071,Waadt,5.0,2017-06-02
4072,Appenzell Innerrhoden,,2017-06-02
4073,Appenzell Ausserrhoden,,2017-06-02
4074,Genf,,2017-06-02
4075,Glarus,,2017-06-02
4076,Jura,,2017-06-02
4077,Nidwalden,,2017-06-02
4078,Obwalden,,2017-06-02
4079,Schaffhausen,,2017-06-02
4080,Schwyz,,2017-06-02
4081,Tessin,,2017-06-02
4082,Nidwalden,100.0,2016-05-31
4083,Schaffhausen,41.0,2016-05-31
4084,Uri,36.0,2016-05-31
4085,Appenzell Ausserrhoden,26.0,2016-05-31
4086,Jura,16.0,2016-05-31
4087,Schwyz,15.0,2016-05-31
4088,Thurgau,11.0,2016-05-31
4089,Zug,9.0,2016-05-31
4090,Basel-Stadt,8.0,2016-05-31
4091,Bern,7.0,2016-05-31
4092,Zürich,7.0,2016-05-31
4093,Aargau,7.0,2016-05-31
4094,Solothurn,6.0,2016-05-31
4095,Wallis,6.0,2016-05-31
4096,Graubünden,6.0,2016-05-31
4097,Luzern,5.0,2016-05-31
4098,Sankt Gallen,4.0,2016-05-31
4099,Basel-Landschaft,4.0,2016-05-31
4100,Waadt,1.0,2016-05-31
4101,Genf,1.0,2016-05-31
4102,Appenzell Innerrhoden,,2016-05-31
4103,Freiburg,,2016-05-31
4104,Glarus,,2016-05-31
4105,Neuenburg,,2016-05-31
4106,Obwalden,,2016-05-31
4107,Tessin,,2016-05-31
4108,Glarus,100.0,2017-09-16
4109,Obwalden,74.0,2017-09-16
4110,Nidwalden,71.0,2017-09-16
4111,Zug,50.0,2017-09-16
4112,Graubünden,31.0,2017-09-16
4113,Basel-Landschaft,29.0,2017-09-16
4114,Solothurn,26.0,2017-09-16
4115,Thurgau,25.0,2017-09-16
4116,Luzern,23.0,2017-09-16
4117,Basel-Stadt,22.0,2017-09-16
4118,Schwyz,20.0,2017-09-16
4119,Aargau,19.0,2017-09-16
4120,Bern,18.0,2017-09-16
4121,Wallis,17.0,2017-09-16
4122,Freiburg,16.0,2017-09-16
4123,Zürich,16.0,2017-09-16
4124,Sankt Gallen,15.0,2017-09-16
4125,Tessin,6.0,2017-09-16
4126,Genf,6.0,2017-09-16
4127,Waadt,3.0,2017-09-16
4128,Appenzell Innerrhoden,,2017-09-16
4129,Appenzell Ausserrhoden,,2017-09-16
4130,Jura,,2017-09-16
4131,Neuenburg,,2017-09-16
4132,Schaffhausen,,2017-09-16
4133,Uri,,2017-09-16
4134,Obwalden,100.0,2015-10-20
4135,Schaffhausen,61.0,2015-10-20
4136,Appenzell Ausserrhoden,28.0,2015-10-20
4137,Thurgau,25.0,2015-10-20
4138,Zug,23.0,2015-10-20
4139,Schwyz,15.0,2015-10-20
4140,Basel-Landschaft,13.0,2015-10-20
4141,Sankt Gallen,12.0,2015-10-20
4142,Basel-Stadt,11.0,2015-10-20
4143,Aargau,9.0,2015-10-20
4144,Solothurn,7.0,2015-10-20
4145,Zürich,7.0,2015-10-20
4146,Waadt,5.0,2015-10-20
4147,Luzern,5.0,2015-10-20
4148,Genf,2.0,2015-10-20
4149,Bern,2.0,2015-10-20
4150,Appenzell Innerrhoden,,2015-10-20
4151,Freiburg,,2015-10-20
4152,Glarus,,2015-10-20
4153,Graubünden,,2015-10-20
4154,Jura,,2015-10-20
4155,Neuenburg,,2015-10-20
4156,Nidwalden,,2015-10-20
4157,Tessin,,2015-10-20
4158,Uri,,2015-10-20
4159,Wallis,,2015-10-20
4160,Appenzell Ausserrhoden,100.0,2017-12-01
4161,Glarus,69.0,2017-12-01
4162,Obwalden,59.0,2017-12-01
4163,Schaffhausen,30.0,2017-12-01
4164,Luzern,24.0,2017-12-01
4165,Basel-Landschaft,22.0,2017-12-01
4166,Thurgau,19.0,2017-12-01
4167,Sankt Gallen,19.0,2017-12-01
4168,Bern,17.0,2017-12-01
4169,Solothurn,17.0,2017-12-01
4170,Aargau,16.0,2017-12-01
4171,Schwyz,14.0,2017-12-01
4172,Zug,12.0,2017-12-01
4173,Graubünden,10.0,2017-12-01
4174,Basel-Stadt,9.0,2017-12-01
4175,Zürich,9.0,2017-12-01
4176,Freiburg,7.0,2017-12-01
4177,Waadt,3.0,2017-12-01
4178,Appenzell Innerrhoden,,2017-12-01
4179,Genf,,2017-12-01
4180,Jura,,2017-12-01
4181,Neuenburg,,2017-12-01
4182,Nidwalden,,2017-12-01
4183,Tessin,,2017-12-01
4184,Uri,,2017-12-01
4185,Wallis,,2017-12-01
4186,Appenzell Ausserrhoden,100.0,2016-09-18
4187,Schwyz,60.0,2016-09-18
4188,Graubünden,55.0,2016-09-18
4189,Basel-Landschaft,46.0,2016-09-18
4190,Solothurn,34.0,2016-09-18
4191,Aargau,32.0,2016-09-18
4192,Thurgau,29.0,2016-09-18
4193,Zürich,27.0,2016-09-18
4194,Tessin,27.0,2016-09-18
4195,Luzern,25.0,2016-09-18
4196,Basel-Stadt,24.0,2016-09-18
4197,Freiburg,24.0,2016-09-18
4198,Zug,23.0,2016-09-18
4199,Sankt Gallen,22.0,2016-09-18
4200,Bern,21.0,2016-09-18
4201,Waadt,6.0,2016-09-18
4202,Appenzell Innerrhoden,,2016-09-18
4203,Genf,,2016-09-18
4204,Glarus,,2016-09-18
4205,Jura,,2016-09-18
4206,Neuenburg,,2016-09-18
4207,Nidwalden,,2016-09-18
4208,Obwalden,,2016-09-18
4209,Schaffhausen,,2016-09-18
4210,Uri,,2016-09-18
4211,Wallis,,2016-09-18
4212,Glarus,100.0,2016-03-21
4213,Obwalden,44.0,2016-03-21
4214,Appenzell Ausserrhoden,28.0,2016-03-21
4215,Schwyz,23.0,2016-03-21
4216,Schaffhausen,18.0,2016-03-21
4217,Zug,13.0,2016-03-21
4218,Luzern,12.0,2016-03-21
4219,Sankt Gallen,11.0,2016-03-21
4220,Bern,10.0,2016-03-21
4221,Aargau,10.0,2016-03-21
4222,Basel-Landschaft,7.0,2016-03-21
4223,Freiburg,7.0,2016-03-21
4224,Zürich,7.0,2016-03-21
4225,Graubünden,7.0,2016-03-21
4226,Genf,5.0,2016-03-21
4227,Basel-Stadt,5.0,2016-03-21
4228,Neuenburg,5.0,2016-03-21
4229,Solothurn,4.0,2016-03-21
4230,Waadt,1.0,2016-03-21
4231,Appenzell Innerrhoden,,2016-03-21
4232,Jura,,2016-03-21
4233,Nidwalden,,2016-03-21
4234,Thurgau,,2016-03-21
4235,Tessin,,2016-03-21
4236,Uri,,2016-03-21
4237,Wallis,,2016-03-21
4238,Appenzell Ausserrhoden,100.0,2018-06-05
4239,Glarus,65.0,2018-06-05
4240,Thurgau,45.0,2018-06-05
4241,Luzern,44.0,2018-06-05
4242,Sankt Gallen,36.0,2018-06-05
4243,Solothurn,35.0,2018-06-05
4244,Schaffhausen,31.0,2018-06-05
4245,Basel-Stadt,30.0,2018-06-05
4246,Zug,27.0,2018-06-05
4247,Basel-Landschaft,26.0,2018-06-05
4248,Zürich,25.0,2018-06-05
4249,Bern,24.0,2018-06-05
4250,Aargau,21.0,2018-06-05
4251,Graubünden,16.0,2018-06-05
4252,Schwyz,15.0,2018-06-05
4253,Wallis,13.0,2018-06-05
4254,Freiburg,7.0,2018-06-05
4255,Waadt,7.0,2018-06-05
4256,Genf,3.0,2018-06-05
4257,Appenzell Innerrhoden,,2018-06-05
4258,Jura,,2018-06-05
4259,Neuenburg,,2018-06-05
4260,Nidwalden,,2018-06-05
4261,Obwalden,,2018-06-05
4262,Tessin,,2018-06-05
4263,Uri,,2018-06-05
4264,Appenzell Ausserrhoden,100.0,2016-08-02
4265,Uri,46.0,2016-08-02
4266,Obwalden,45.0,2016-08-02
4267,Schaffhausen,31.0,2016-08-02
4268,Thurgau,22.0,2016-08-02
4269,Zug,16.0,2016-08-02
4270,Schwyz,13.0,2016-08-02
4271,Bern,9.0,2016-08-02
4272,Sankt Gallen,9.0,2016-08-02
4273,Zürich,8.0,2016-08-02
4274,Aargau,8.0,2016-08-02
4275,Basel-Stadt,7.0,2016-08-02
4276,Basel-Landschaft,6.0,2016-08-02
4277,Graubünden,5.0,2016-08-02
4278,Freiburg,5.0,2016-08-02
4279,Solothurn,5.0,2016-08-02
4280,Luzern,4.0,2016-08-02
4281,Tessin,3.0,2016-08-02
4282,Waadt,2.0,2016-08-02
4283,Genf,1.0,2016-08-02
4284,Appenzell Innerrhoden,,2016-08-02
4285,Glarus,,2016-08-02
4286,Jura,,2016-08-02
4287,Neuenburg,,2016-08-02
4288,Nidwalden,,2016-08-02
4289,Wallis,,2016-08-02
4290,Nidwalden,100.0,2017-04-25
4291,Appenzell Ausserrhoden,98.0,2017-04-25
4292,Basel-Landschaft,81.0,2017-04-25
4293,Schwyz,68.0,2017-04-25
4294,Schaffhausen,68.0,2017-04-25
4295,Sankt Gallen,53.0,2017-04-25
4296,Aargau,50.0,2017-04-25
4297,Graubünden,48.0,2017-04-25
4298,Bern,43.0,2017-04-25
4299,Basel-Stadt,43.0,2017-04-25
4300,Luzern,27.0,2017-04-25
4301,Zürich,25.0,2017-04-25
4302,Solothurn,24.0,2017-04-25
4303,Zug,21.0,2017-04-25
4304,Thurgau,18.0,2017-04-25
4305,Freiburg,12.0,2017-04-25
4306,Tessin,8.0,2017-04-25
4307,Genf,7.0,2017-04-25
4308,Waadt,6.0,2017-04-25
4309,Appenzell Innerrhoden,,2017-04-25
4310,Glarus,,2017-04-25
4311,Jura,,2017-04-25
4312,Neuenburg,,2017-04-25
4313,Obwalden,,2017-04-25
4314,Uri,,2017-04-25
4315,Wallis,,2017-04-25
4316,Schaffhausen,100.0,2016-10-28
4317,Thurgau,93.0,2016-10-28
4318,Sankt Gallen,86.0,2016-10-28
4319,Zug,75.0,2016-10-28
4320,Graubünden,62.0,2016-10-28
4321,Schwyz,58.0,2016-10-28
4322,Solothurn,56.0,2016-10-28
4323,Freiburg,46.0,2016-10-28
4324,Basel-Landschaft,41.0,2016-10-28
4325,Zürich,38.0,2016-10-28
4326,Bern,36.0,2016-10-28
4327,Genf,35.0,2016-10-28
4328,Basel-Stadt,35.0,2016-10-28
4329,Aargau,34.0,2016-10-28
4330,Neuenburg,34.0,2016-10-28
4331,Luzern,29.0,2016-10-28
4332,Waadt,5.0,2016-10-28
4333,Appenzell Innerrhoden,,2016-10-28
4334,Appenzell Ausserrhoden,,2016-10-28
4335,Glarus,,2016-10-28
4336,Jura,,2016-10-28
4337,Nidwalden,,2016-10-28
4338,Obwalden,,2016-10-28
4339,Tessin,,2016-10-28
4340,Uri,,2016-10-28
4341,Wallis,,2016-10-28
4342,Schwyz,100.0,2016-07-16
4343,Zug,49.0,2016-07-16
4344,Graubünden,34.0,2016-07-16
4345,Basel-Landschaft,32.0,2016-07-16
