dateindex,date,date_integer,ZH
2016-02-06,2016-02-06,160,11.0
2016-02-07,2016-02-07,161,20.0
2016-02-08,2016-02-08,162,12.0
2016-02-09,2016-02-09,163,17.0
2016-02-10,2016-02-10,164,9.0
2016-02-11,2016-02-11,165,16.0
2016-02-12,2016-02-12,166,17.0
2016-02-13,2016-02-13,167,18.0
2016-02-14,2016-02-14,168,21.0
2016-02-15,2016-02-15,169,23.0
2016-02-16,2016-02-16,170,35.0
2016-02-17,2016-02-17,171,25.0
2016-02-18,2016-02-18,172,14.0
2016-02-19,2016-02-19,173,15.0
2016-02-20,2016-02-20,174,27.0
2016-02-21,2016-02-21,175,51.0
2016-02-22,2016-02-22,176,30.0
2016-02-23,2016-02-23,177,16.0
2016-02-24,2016-02-24,178,15.0
2016-02-25,2016-02-25,179,5.0
2016-02-26,2016-02-26,180,8.0
2016-02-27,2016-02-27,181,15.0
2016-02-28,2016-02-28,182,14.0
2016-02-29,2016-02-29,183,19.0
2016-03-01,2016-03-01,184,18.0
2016-03-02,2016-03-02,185,13.0
2016-03-03,2016-03-03,186,5.0
2016-03-04,2016-03-04,187,15.0
2016-03-05,2016-03-05,188,17.0
2016-03-06,2016-03-06,189,15.0
2016-03-07,2016-03-07,190,11.0
2016-03-08,2016-03-08,191,14.0
2016-03-09,2016-03-09,192,8.0
2016-03-10,2016-03-10,193,22.0
2016-03-11,2016-03-11,194,12.0
2016-03-12,2016-03-12,195,13.0
2016-03-13,2016-03-13,196,20.0
2016-03-14,2016-03-14,197,17.0
2016-03-15,2016-03-15,198,6.0
2016-03-16,2016-03-16,199,13.0
2016-03-17,2016-03-17,200,18.0
2016-03-18,2016-03-18,201,15.0
2016-03-19,2016-03-19,202,4.0
2016-03-20,2016-03-20,203,16.0
2016-03-21,2016-03-21,204,7.0
2016-03-22,2016-03-22,205,11.0
2016-03-23,2016-03-23,206,8.0
2016-03-24,2016-03-24,207,12.0
2016-03-25,2016-03-25,208,15.0
2016-03-26,2016-03-26,209,8.0
2016-03-27,2016-03-27,210,3.0
2016-03-28,2016-03-28,211,9.0
2016-03-29,2016-03-29,212,20.0
2016-03-30,2016-03-30,213,16.0
2016-03-31,2016-03-31,214,10.0
2016-04-01,2016-04-01,215,11.0
2016-04-02,2016-04-02,216,5.0
2016-04-03,2016-04-03,217,14.0
2016-04-04,2016-04-04,218,15.0
2016-04-05,2016-04-05,219,19.0
2016-04-06,2016-04-06,220,5.0
2016-04-07,2016-04-07,221,15.0
2016-04-08,2016-04-08,222,5.0
2016-04-09,2016-04-09,223,11.0
2016-04-10,2016-04-10,224,9.0
2016-04-11,2016-04-11,225,20.0
2016-04-12,2016-04-12,226,15.0
2016-04-13,2016-04-13,227,7.0
2016-04-14,2016-04-14,228,14.0
2016-04-15,2016-04-15,229,11.0
2016-04-16,2016-04-16,230,15.0
2016-04-17,2016-04-17,231,14.0
2016-04-18,2016-04-18,232,19.0
2016-04-19,2016-04-19,233,13.0
2016-04-20,2016-04-20,234,6.0
2016-04-21,2016-04-21,235,12.0
2016-04-22,2016-04-22,236,18.0
2016-04-23,2016-04-23,237,16.0
2016-04-24,2016-04-24,238,15.0
2016-04-25,2016-04-25,239,14.0
2016-04-26,2016-04-26,240,27.0
2016-04-27,2016-04-27,241,17.0
2016-04-28,2016-04-28,242,13.0
2016-04-29,2016-04-29,243,13.0
2016-04-30,2016-04-30,244,9.0
2016-05-01,2016-05-01,245,13.0
2016-05-02,2016-05-02,246,14.0
2016-05-03,2016-05-03,247,14.0
2016-05-04,2016-05-04,248,11.0
2016-05-05,2016-05-05,249,8.0
2016-05-06,2016-05-06,250,9.0
2016-05-07,2016-05-07,251,23.0
2016-05-08,2016-05-08,252,14.0
2016-05-09,2016-05-09,253,18.0
2016-05-10,2016-05-10,254,5.0
2016-05-11,2016-05-11,255,24.0
2016-05-12,2016-05-12,256,19.0
2016-05-13,2016-05-13,257,4.0
2016-05-14,2016-05-14,258,8.0
2016-05-15,2016-05-15,259,13.0
2016-05-16,2016-05-16,260,6.0
2016-05-17,2016-05-17,261,12.0
2016-05-18,2016-05-18,262,6.0
2016-05-19,2016-05-19,263,14.0
2016-05-20,2016-05-20,264,40.0
2016-05-21,2016-05-21,265,5.0
2016-05-22,2016-05-22,266,13.0
2016-05-23,2016-05-23,267,10.0
2016-05-24,2016-05-24,268,15.0
2016-05-25,2016-05-25,269,6.0
2016-05-26,2016-05-26,270,14.0
2016-05-27,2016-05-27,271,17.0
2016-05-28,2016-05-28,272,14.0
2016-05-29,2016-05-29,273,9.0
2016-05-30,2016-05-30,274,5.0
2016-05-31,2016-05-31,275,7.0
2016-06-01,2016-06-01,276,14.0
2016-06-02,2016-06-02,277,47.0
2016-06-03,2016-06-03,278,5.0
2016-06-04,2016-06-04,279,13.0
2016-06-05,2016-06-05,280,11.0
2016-06-06,2016-06-06,281,16.0
2016-06-07,2016-06-07,282,13.0
2016-06-08,2016-06-08,283,7.0
2016-06-09,2016-06-09,284,4.0
2016-06-10,2016-06-10,285,6.0
2016-06-11,2016-06-11,286,6.0
2016-06-12,2016-06-12,287,3
2016-06-13,2016-06-13,288,11.0
2016-06-14,2016-06-14,289,8.0
2016-06-15,2016-06-15,290,5.0
2016-06-16,2016-06-16,291,12.0
2016-06-17,2016-06-17,292,7.0
2016-06-18,2016-06-18,293,31.0
2016-06-19,2016-06-19,294,20.0
2016-06-20,2016-06-20,295,13.0
2016-06-21,2016-06-21,296,21.0
2016-06-22,2016-06-22,297,21.0
2016-06-23,2016-06-23,298,17.0
2016-06-24,2016-06-24,299,11.0
2016-06-25,2016-06-25,300,8.0
2016-06-26,2016-06-26,301,13.0
2016-06-27,2016-06-27,302,5.0
2016-06-28,2016-06-28,303,6.0
2016-06-29,2016-06-29,304,10.0
2016-06-30,2016-06-30,305,27.0
2016-07-01,2016-07-01,306,52.0
2016-07-02,2016-07-02,307,9.0
2016-07-03,2016-07-03,308,19.0
2016-07-04,2016-07-04,309,5.0
2016-07-05,2016-07-05,310,24.0
2016-07-06,2016-07-06,311,26.0
2016-07-07,2016-07-07,312,2
2016-07-08,2016-07-08,313,25.0
2016-07-09,2016-07-09,314,9.0
2016-07-10,2016-07-10,315,14.0
2016-07-11,2016-07-11,316,18.0
2016-07-12,2016-07-12,317,15.0
2016-07-13,2016-07-13,318,23.0
2016-07-14,2016-07-14,319,13.0
2016-07-15,2016-07-15,320,14.0
2016-07-16,2016-07-16,321,10.0
2016-07-17,2016-07-17,322,19.0
2016-07-18,2016-07-18,323,9.0
2016-07-19,2016-07-19,324,16.0
2016-07-20,2016-07-20,325,17.0
2016-07-21,2016-07-21,326,34.0
2016-07-22,2016-07-22,327,9.0
2016-07-23,2016-07-23,328,14.0
2016-07-24,2016-07-24,329,8.0
2016-07-25,2016-07-25,330,14.0
2016-07-26,2016-07-26,331,23.0
2016-07-27,2016-07-27,332,9.0
2016-07-28,2016-07-28,333,19.0
2016-07-29,2016-07-29,334,4.0
2016-07-30,2016-07-30,335,9.0
2016-07-31,2016-07-31,336,15.0
2016-08-01,2016-08-01,337,4.0
2016-08-02,2016-08-02,338,8.0
2016-08-03,2016-08-03,339,12.0
2016-08-04,2016-08-04,340,12.0
2016-08-05,2016-08-05,341,19.0
2016-08-06,2016-08-06,342,13.0
