dateindex,date,date_integer,ZH
2017-07-28,2017-07-28,698,20.0
2017-07-29,2017-07-29,699,13.0
2017-07-30,2017-07-30,700,19.0
2017-07-31,2017-07-31,701,7.0
2017-08-01,2017-08-01,702,15.0
2017-08-02,2017-08-02,703,7.0
2017-08-03,2017-08-03,704,13.0
2017-08-04,2017-08-04,705,13.0
2017-08-05,2017-08-05,706,16.0
2017-08-06,2017-08-06,707,15.0
2017-08-07,2017-08-07,708,25.0
2017-08-08,2017-08-08,709,11.0
2017-08-09,2017-08-09,710,19.0
2017-08-10,2017-08-10,711,26.0
2017-08-11,2017-08-11,712,18.0
2017-08-12,2017-08-12,713,17.0
2017-08-13,2017-08-13,714,7.0
2017-08-14,2017-08-14,715,10.0
2017-08-15,2017-08-15,716,8.0
2017-08-16,2017-08-16,717,29.0
2017-08-17,2017-08-17,718,8.0
2017-08-18,2017-08-18,719,22.0
2017-08-19,2017-08-19,720,16.0
2017-08-20,2017-08-20,721,29.0
2017-08-21,2017-08-21,722,19.0
2017-08-22,2017-08-22,723,32.0
2017-08-23,2017-08-23,724,23.0
2017-08-24,2017-08-24,725,10.0
2017-08-25,2017-08-25,726,28.0
2017-08-26,2017-08-26,727,16.0
2017-08-27,2017-08-27,728,21.0
2017-08-28,2017-08-28,729,26.0
2017-08-29,2017-08-29,730,7.0
2017-08-30,2017-08-30,731,26.0
2017-08-31,2017-08-31,732,49.0
2017-09-01,2017-09-01,733,20.0
2017-09-02,2017-09-02,734,13.0
2017-09-03,2017-09-03,735,27.0
2017-09-04,2017-09-04,736,26.0
2017-09-05,2017-09-05,737,23.0
2017-09-06,2017-09-06,738,10.0
2017-09-07,2017-09-07,739,25.0
2017-09-08,2017-09-08,740,17.0
2017-09-09,2017-09-09,741,6.0
2017-09-10,2017-09-10,742,11.0
2017-09-11,2017-09-11,743,13.0
2017-09-12,2017-09-12,744,24.0
2017-09-13,2017-09-13,745,25.0
2017-09-14,2017-09-14,746,16.0
2017-09-15,2017-09-15,747,6.0
2017-09-16,2017-09-16,748,16.0
2017-09-17,2017-09-17,749,37.0
2017-09-18,2017-09-18,750,17.0
2017-09-19,2017-09-19,751,9.0
2017-09-20,2017-09-20,752,23.0
2017-09-21,2017-09-21,753,10.0
2017-09-22,2017-09-22,754,22.0
2017-09-23,2017-09-23,755,21.0
2017-09-24,2017-09-24,756,16.0
2017-09-25,2017-09-25,757,9.0
2017-09-26,2017-09-26,758,9.0
2017-09-27,2017-09-27,759,28.0
2017-09-28,2017-09-28,760,19.0
2017-09-29,2017-09-29,761,20.0
2017-09-30,2017-09-30,762,24.0
2017-10-01,2017-10-01,763,12.0
2017-10-02,2017-10-02,764,20.0
2017-10-03,2017-10-03,765,25.0
2017-10-04,2017-10-04,766,7.0
2017-10-05,2017-10-05,767,27.0
2017-10-06,2017-10-06,768,21.0
2017-10-07,2017-10-07,769,14.0
2017-10-08,2017-10-08,770,20.0
2017-10-09,2017-10-09,771,25.0
2017-10-10,2017-10-10,772,13.0
2017-10-11,2017-10-11,773,26.0
2017-10-12,2017-10-12,774,18.0
2017-10-13,2017-10-13,775,6.0
2017-10-14,2017-10-14,776,21.0
2017-10-15,2017-10-15,777,11.0
2017-10-16,2017-10-16,778,26.0
2017-10-17,2017-10-17,779,8.0
2017-10-18,2017-10-18,780,26.0
2017-10-19,2017-10-19,781,24.0
2017-10-20,2017-10-20,782,13.0
2017-10-21,2017-10-21,783,13.0
2017-10-22,2017-10-22,784,6.0
2017-10-23,2017-10-23,785,17.0
2017-10-24,2017-10-24,786,7.0
2017-10-25,2017-10-25,787,22.0
2017-10-26,2017-10-26,788,9.0
2017-10-27,2017-10-27,789,18.0
2017-10-28,2017-10-28,790,11.0
2017-10-29,2017-10-29,791,7.0
2017-10-30,2017-10-30,792,29.0
2017-10-31,2017-10-31,793,10.0
2017-11-01,2017-11-01,794,22.0
2017-11-02,2017-11-02,795,8.0
2017-11-03,2017-11-03,796,24.0
2017-11-04,2017-11-04,797,12.0
2017-11-05,2017-11-05,798,17.0
2017-11-06,2017-11-06,799,22.0
2017-11-07,2017-11-07,800,20.0
2017-11-08,2017-11-08,801,21.0
2017-11-09,2017-11-09,802,28.0
2017-11-10,2017-11-10,803,25.0
2017-11-11,2017-11-11,804,8.0
2017-11-12,2017-11-12,805,37.0
2017-11-13,2017-11-13,806,29.0
2017-11-14,2017-11-14,807,18.0
2017-11-15,2017-11-15,808,17.0
2017-11-16,2017-11-16,809,9.0
2017-11-17,2017-11-17,810,20.0
2017-11-18,2017-11-18,811,23.0
2017-11-19,2017-11-19,812,40.0
2017-11-20,2017-11-20,813,24.0
2017-11-21,2017-11-21,814,34.0
2017-11-22,2017-11-22,815,20.0
2017-11-23,2017-11-23,816,27.0
2017-11-24,2017-11-24,817,25.0
2017-11-25,2017-11-25,818,40.0
2017-11-26,2017-11-26,819,23.0
2017-11-27,2017-11-27,820,24.0
2017-11-28,2017-11-28,821,33.0
2017-11-29,2017-11-29,822,12.0
2017-11-30,2017-11-30,823,25.0
2017-12-01,2017-12-01,824,9.0
2017-12-02,2017-12-02,825,9.0
2017-12-03,2017-12-03,826,26.0
2017-12-04,2017-12-04,827,26.0
2017-12-05,2017-12-05,828,30.0
2017-12-06,2017-12-06,829,21.0
2017-12-07,2017-12-07,830,15.0
2017-12-08,2017-12-08,831,23.0
2017-12-09,2017-12-09,832,33.0
2017-12-10,2017-12-10,833,22.0
2017-12-11,2017-12-11,834,12.0
2017-12-12,2017-12-12,835,12.0
2017-12-13,2017-12-13,836,12.0
2017-12-14,2017-12-14,837,12.0
2017-12-15,2017-12-15,838,4.0
2017-12-16,2017-12-16,839,10.0
2017-12-17,2017-12-17,840,17.0
2017-12-18,2017-12-18,841,11.0
2017-12-19,2017-12-19,842,17.0
2017-12-20,2017-12-20,843,22.0
2017-12-21,2017-12-21,844,20.0
2017-12-22,2017-12-22,845,21.0
2017-12-23,2017-12-23,846,19.0
2017-12-24,2017-12-24,847,16.0
2017-12-25,2017-12-25,848,12.0
2017-12-26,2017-12-26,849,30.0
2017-12-27,2017-12-27,850,8.0
2017-12-28,2017-12-28,851,34.0
2017-12-29,2017-12-29,852,10.0
2017-12-30,2017-12-30,853,32.0
2017-12-31,2017-12-31,854,21.0
2018-01-01,2018-01-01,855,12.0
2018-01-02,2018-01-02,856,21.0
2018-01-03,2018-01-03,857,30.0
2018-01-04,2018-01-04,858,15.0
2018-01-05,2018-01-05,859,43.0
2018-01-06,2018-01-06,860,14.0
2018-01-07,2018-01-07,861,24.0
2018-01-08,2018-01-08,862,37.0
2018-01-09,2018-01-09,863,39.0
2018-01-10,2018-01-10,864,27.0
2018-01-11,2018-01-11,865,16.0
2018-01-12,2018-01-12,866,31.0
2018-01-13,2018-01-13,867,28.0
2018-01-14,2018-01-14,868,25.0
2018-01-15,2018-01-15,869,16.0
2018-01-16,2018-01-16,870,29.0
2018-01-17,2018-01-17,871,12.0
2018-01-18,2018-01-18,872,20.0
2018-01-19,2018-01-19,873,30.0
2018-01-20,2018-01-20,874,25.0
2018-01-21,2018-01-21,875,15.0
2018-01-22,2018-01-22,876,16.0
2018-01-23,2018-01-23,877,16.0
2018-01-24,2018-01-24,878,18.0
2018-01-25,2018-01-25,879,13.0
2018-01-26,2018-01-26,880,45.0
2018-01-27,2018-01-27,881,21.0
2018-01-28,2018-01-28,882,21.0
2018-01-29,2018-01-29,883,29.0
2018-01-30,2018-01-30,884,25.0
2018-01-31,2018-01-31,885,24.0
2018-02-01,2018-02-01,886,24.0
2018-02-02,2018-02-02,887,18.0
2018-02-03,2018-02-03,888,34.0
2018-02-04,2018-02-04,889,17.0
2018-02-05,2018-02-05,890,19.0
2018-02-06,2018-02-06,891,36.0
2018-02-07,2018-02-07,892,24.0
2018-02-08,2018-02-08,893,38.0
2018-02-09,2018-02-09,894,31.0
2018-02-10,2018-02-10,895,9.0
2018-02-11,2018-02-11,896,23.0
2018-02-12,2018-02-12,897,29.0
2018-02-13,2018-02-13,898,23.0
2018-02-14,2018-02-14,899,14.0
2018-02-15,2018-02-15,900,50.0
2018-02-16,2018-02-16,901,38.0
2018-02-17,2018-02-17,902,12.0
2018-02-18,2018-02-18,903,16.0
2018-02-19,2018-02-19,904,26.0
2018-02-20,2018-02-20,905,16.0
2018-02-21,2018-02-21,906,23.0
2018-02-22,2018-02-22,907,15.0
2018-02-23,2018-02-23,908,29.0
2018-02-24,2018-02-24,909,47.0
2018-02-25,2018-02-25,910,10.0
2018-02-26,2018-02-26,911,21.0
2018-02-27,2018-02-27,912,27.0
2018-02-28,2018-02-28,913,16.0
2018-03-01,2018-03-01,914,17.0
2018-03-02,2018-03-02,915,13.0
2018-03-03,2018-03-03,916,23.0
2018-03-04,2018-03-04,917,35.0
2018-03-05,2018-03-05,918,36.0
2018-03-06,2018-03-06,919,17.0
2018-03-07,2018-03-07,920,39.0
2018-03-08,2018-03-08,921,37.0
2018-03-09,2018-03-09,922,38.0
2018-03-10,2018-03-10,923,25.0
2018-03-11,2018-03-11,924,27.0
2018-03-12,2018-03-12,925,16.0
2018-03-13,2018-03-13,926,15.0
2018-03-14,2018-03-14,927,18.0
2018-03-15,2018-03-15,928,14.0
2018-03-16,2018-03-16,929,27.0
2018-03-17,2018-03-17,930,28.0
2018-03-18,2018-03-18,931,42.0
2018-03-19,2018-03-19,932,35.0
2018-03-20,2018-03-20,933,16.0
2018-03-21,2018-03-21,934,14.0
2018-03-22,2018-03-22,935,13.0
2018-03-23,2018-03-23,936,16.0
2018-03-24,2018-03-24,937,17.0
2018-03-25,2018-03-25,938,14.0
2018-03-26,2018-03-26,939,22.0
2018-03-27,2018-03-27,940,24.0
2018-03-28,2018-03-28,941,35.0
2018-03-29,2018-03-29,942,17.0
2018-03-30,2018-03-30,943,10.0
2018-03-31,2018-03-31,944,37.0
2018-04-01,2018-04-01,945,17.0
2018-04-02,2018-04-02,946,13.0
2018-04-03,2018-04-03,947,13.0
2018-04-04,2018-04-04,948,15.0
2018-04-05,2018-04-05,949,14.0
2018-04-06,2018-04-06,950,15.0
2018-04-07,2018-04-07,951,28.0
2018-04-08,2018-04-08,952,19.0
2018-04-09,2018-04-09,953,26.0
2018-04-10,2018-04-10,954,28.0
2018-04-11,2018-04-11,955,21.0
2018-04-12,2018-04-12,956,30.0
2018-04-13,2018-04-13,957,16.0
2018-04-14,2018-04-14,958,16.0
2018-04-15,2018-04-15,959,34.0
2018-04-16,2018-04-16,960,15.0
2018-04-17,2018-04-17,961,32.0
2018-04-18,2018-04-18,962,19.0
2018-04-19,2018-04-19,963,13.0
2018-04-20,2018-04-20,964,15.0
2018-04-21,2018-04-21,965,12.0
2018-04-22,2018-04-22,966,14.0
2018-04-23,2018-04-23,967,6.0
2018-04-24,2018-04-24,968,32.0
2018-04-25,2018-04-25,969,37.0
2018-04-26,2018-04-26,970,33.0
2018-04-27,2018-04-27,971,23.0
2018-04-28,2018-04-28,972,15.0
2018-04-29,2018-04-29,973,17.0
2018-04-30,2018-04-30,974,17.0
2018-05-01,2018-05-01,975,21.0
2018-05-02,2018-05-02,976,36.0
2018-05-03,2018-05-03,977,24.0
2018-05-04,2018-05-04,978,10.0
2018-05-05,2018-05-05,979,13.0
2018-05-06,2018-05-06,980,26.0
2018-05-07,2018-05-07,981,16.0
2018-05-08,2018-05-08,982,13.0
2018-05-09,2018-05-09,983,25.0
2018-05-10,2018-05-10,984,21.0
2018-05-11,2018-05-11,985,22.0
2018-05-12,2018-05-12,986,11.0
2018-05-13,2018-05-13,987,35.0
2018-05-14,2018-05-14,988,15.0
2018-05-15,2018-05-15,989,19.0
2018-05-16,2018-05-16,990,54.0
2018-05-17,2018-05-17,991,12.0
2018-05-18,2018-05-18,992,19.0
2018-05-19,2018-05-19,993,11.0
2018-05-20,2018-05-20,994,29.0
2018-05-21,2018-05-21,995,18.0
2018-05-22,2018-05-22,996,43.0
2018-05-23,2018-05-23,997,39.0
2018-05-24,2018-05-24,998,13.0
2018-05-25,2018-05-25,999,11.0
2018-05-26,2018-05-26,1000,11.0
2018-05-27,2018-05-27,1001,7.0
2018-05-28,2018-05-28,1002,15.0
2018-05-29,2018-05-29,1003,11.0
2018-05-30,2018-05-30,1004,31.0
2018-05-31,2018-05-31,1005,21.0
2018-06-01,2018-06-01,1006,14.0
2018-06-02,2018-06-02,1007,10.0
2018-06-03,2018-06-03,1008,39.0
2018-06-04,2018-06-04,1009,25.0
2018-06-05,2018-06-05,1010,25.0
2018-06-06,2018-06-06,1011,21.0
2018-06-07,2018-06-07,1012,30.0
2018-06-08,2018-06-08,1013,18.0
2018-06-09,2018-06-09,1014,10.0
2018-06-10,2018-06-10,1015,33.0
2018-06-11,2018-06-11,1016,16.0
2018-06-12,2018-06-12,1017,16.0
2018-06-13,2018-06-13,1018,40.0
2018-06-14,2018-06-14,1019,9.0
2018-06-15,2018-06-15,1020,10.0
2018-06-16,2018-06-16,1021,14.0
2018-06-17,2018-06-17,1022,18.0
2018-06-18,2018-06-18,1023,41.0
2018-06-19,2018-06-19,1024,21.0
2018-06-20,2018-06-20,1025,29.0
2018-06-21,2018-06-21,1026,15.0
2018-06-22,2018-06-22,1027,17.0
2018-06-23,2018-06-23,1028,14.0
2018-06-24,2018-06-24,1029,21.0
2018-06-25,2018-06-25,1030,39.0
2018-06-26,2018-06-26,1031,10.0
2018-06-27,2018-06-27,1032,7.0
2018-06-28,2018-06-28,1033,11.0
2018-06-29,2018-06-29,1034,24.0
2018-06-30,2018-06-30,1035,32.0
2018-07-01,2018-07-01,1036,16.0
2018-07-02,2018-07-02,1037,8.0
2018-07-03,2018-07-03,1038,22.0
2018-07-04,2018-07-04,1039,17.0
2018-07-05,2018-07-05,1040,16.0
2018-07-06,2018-07-06,1041,17.0
2018-07-07,2018-07-07,1042,18.0
2018-07-08,2018-07-08,1043,37.0
2018-07-09,2018-07-09,1044,15.0
2018-07-10,2018-07-10,1045,32.0
2018-07-11,2018-07-11,1046,17.0
2018-07-12,2018-07-12,1047,29.0
2018-07-13,2018-07-13,1048,26.0
2018-07-14,2018-07-14,1049,18.0
2018-07-15,2018-07-15,1050,18.0
2018-07-16,2018-07-16,1051,16.0
2018-07-17,2018-07-17,1052,22.0
2018-07-18,2018-07-18,1053,15.0
2018-07-19,2018-07-19,1054,23.0
2018-07-20,2018-07-20,1055,20.0
2018-07-21,2018-07-21,1056,13.0
2018-07-22,2018-07-22,1057,18.0
2018-07-23,2018-07-23,1058,29.0
2018-07-24,2018-07-24,1059,30.0
2018-07-25,2018-07-25,1060,13.0
2018-07-26,2018-07-26,1061,24.0
2018-07-27,2018-07-27,1062,17.0
2018-07-28,2018-07-28,1063,14.0
2018-07-29,2018-07-29,1064,37.0
2018-07-30,2018-07-30,1065,33.0
2018-07-31,2018-07-31,1066,27.0
2018-08-01,2018-08-01,1067,15.0
2018-08-02,2018-08-02,1068,14.0
2018-08-03,2018-08-03,1069,23.0
2018-08-04,2018-08-04,1070,12.0
2018-08-05,2018-08-05,1071,18.0
2018-08-06,2018-08-06,1072,34.0
2018-08-07,2018-08-07,1073,36.0
2018-08-08,2018-08-08,1074,16.0
2018-08-09,2018-08-09,1075,17.0
2018-08-10,2018-08-10,1076,29.0
2018-08-11,2018-08-11,1077,13.0
2018-08-12,2018-08-12,1078,19.0
2018-08-13,2018-08-13,1079,25.0
2018-08-14,2018-08-14,1080,20.0
2018-08-15,2018-08-15,1081,9.0
2018-08-16,2018-08-16,1082,14.0
2018-08-17,2018-08-17,1083,35.0
2018-08-18,2018-08-18,1084,18.0
2018-08-19,2018-08-19,1085,48.0
2018-08-20,2018-08-20,1086,41.0
2018-08-21,2018-08-21,1087,15.0
2018-08-22,2018-08-22,1088,20.0
2018-08-23,2018-08-23,1089,12.0
2018-08-24,2018-08-24,1090,31.0
2018-08-25,2018-08-25,1091,13.0
2018-08-26,2018-08-26,1092,29.0
2018-08-27,2018-08-27,1093,30.0
2018-08-28,2018-08-28,1094,15.0
2018-08-29,2018-08-29,1095,12.0
2018-08-30,2018-08-30,1096,15.0
2018-08-31,2018-08-31,1097,11.0
